step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.6930347084999084,0.7166643142700195,0.49059998989105225,0.4883660078048706,0.48873990774154663,0.043076660484075546,0.007946310564875603,0.43477538228034973,0.24825671315193176,0.042861878871917725,1.0,0.03125,0.0520833320915699,0.041666666666666664,0.5029841065406799,0.0182872973382473,0.4734219014644623,0.5310797691345215,0.0,0.0,0.49036940932273865,0.019818469882011414,0.4580131471157074,0.5278827548027039,0.0,0.0
2,0.6910625100135803,0.7200556397438049,0.49069634079933167,0.48669251799583435,0.4871998131275177,0.037550777196884155,0.009996077977120876,0.4185827076435089,0.2385796308517456,0.0388973206281662,1.0,0.02083333395421505,0.03125,0.03125,0.4911573827266693,0.01872173324227333,0.4633229374885559,0.5244160294532776,0.0,0.0,0.4774969816207886,0.019879812374711037,0.4457591772079468,0.5126459002494812,0.0,0.0
3,0.6894010305404663,0.7230228185653687,0.49211087822914124,0.4851759672164917,0.48626261949539185,0.05695924535393715,0.01806587353348732,0.3944498598575592,0.21851693093776703,0.040744900703430176,0.8796881437301636,0.03125,0.0,0.0,0.4807949960231781,0.020200245082378387,0.4442768394947052,0.5208290815353394,0.0,0.0,0.4630880355834961,0.021440234035253525,0.4265689551830292,0.5026326179504395,0.0,0.0
4,0.6889087557792664,0.7274149656295776,0.4897844195365906,0.4830118715763092,0.4848983883857727,0.041248783469200134,0.026796730235219002,0.4101550579071045,0.24728912115097046,0.04670685902237892,1.0,0.010416666977107525,0.0416666679084301,0.020833333333333332,0.4665703773498535,0.02117481455206871,0.4271911680698395,0.5055152773857117,0.0,0.0,0.4433631896972656,0.026292042806744576,0.39367085695266724,0.49531540274620056,0.0,0.0
5,0.6952961683273315,0.7075810432434082,0.4936119616031647,0.4928935170173645,0.49475571513175964,0.048994917422533035,0.026610499247908592,0.519551694393158,0.25700080394744873,0.030137380585074425,1.0,0.010416666977107525,0.0833333358168602,0.052083333333333336,0.44273900985717773,0.026635365560650826,0.39020925760269165,0.4950232207775116,0.0,0.0,0.41450461745262146,0.03337588906288147,0.33463355898857117,0.47861048579216003,0.0,0.0
6,0.6894940137863159,0.694657027721405,0.5046048760414124,0.49910691380500793,0.5019454956054688,0.03589717298746109,0.034618064761161804,0.41665545105934143,0.219473734498024,0.07630393654108047,1.0,0.0,0.02083333395421505,0.010416666666666666,0.41560491919517517,0.03215871378779411,0.3294219672679901,0.473701536655426,0.0,0.0,0.37564143538475037,0.04236656427383423,0.28394263982772827,0.4492418169975281,0.0,0.0
7,0.6917653679847717,0.6790755391120911,0.5112130641937256,0.5073344111442566,0.5099886655807495,0.0423576757311821,0.03787405043840408,0.4503256380558014,0.23972393572330475,0.034158699214458466,1.0,0.02083333395421505,0.03125,0.03125,0.37212154269218445,0.04327817261219025,0.27367103099823,0.4449913799762726,0.0,0.0,0.33990588784217834,0.05738887935876846,0.20923767983913422,0.439414381980896,0.0,0.0
8,0.6952054500579834,0.6633886098861694,0.5183296799659729,0.5150658488273621,0.5172790884971619,0.06669887155294418,0.03383650630712509,0.47013863921165466,0.25879213213920593,0.061721041798591614,1.0,0.0,0.09375,0.09375,0.34087035059928894,0.05975167453289032,0.1930873990058899,0.44964635372161865,0.0,0.0,0.31185510754585266,0.08352826535701752,0.14281323552131653,0.4626462757587433,0.0,0.0
9,0.695896327495575,0.6557369232177734,0.5215083360671997,0.5190664529800415,0.5197265148162842,0.0669848620891571,0.017988592386245728,0.3673448860645294,0.18157421052455902,0.03453962132334709,0.8690146207809448,0.010416666977107525,0.0,0.0,0.31663286685943604,0.08235044777393341,0.14762812852859497,0.4672665297985077,0.0,0.0,0.30554381012916565,0.10411719232797623,0.11066745221614838,0.5003423094749451,0.0,0.0
10,0.6893224716186523,0.655664324760437,0.5289721488952637,0.519227921962738,0.5202946662902832,0.05627265200018883,0.030824173241853714,0.4213927984237671,0.23128573596477509,0.028051599860191345,1.0,0.02083333395421505,0.010416666977107525,0.010416666666666666,0.3058949112892151,0.1039111465215683,0.12084630131721497,0.5019980072975159,0.0,0.0,0.3151020109653473,0.1241464614868164,0.10313866287469864,0.549740731716156,0.0,0.0
