step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.6960461139678955,0.6297965049743652,0.533851683139801,0.5326967835426331,0.5328458547592163,0.07791610062122345,0.005792268086224794,0.4623810350894928,0.262676477432251,0.039521340280771255,1.0,0.010416666977107525,0.0520833320915699,0.03125,0.49234554171562195,0.013266883790493011,0.47243639826774597,0.5173749923706055,0.0,0.0,0.4878089427947998,0.010638526640832424,0.46736040711402893,0.5062044262886047,0.0,0.0
2,0.6942608952522278,0.6397626996040344,0.5298505425453186,0.5274049639701843,0.5276343822479248,0.06363505870103836,0.008054499514400959,0.4568498432636261,0.2533127963542938,0.053316518664360046,1.0,0.0,0.0520833320915699,0.020833333333333332,0.48767539858818054,0.010604064911603928,0.4691593647003174,0.50819993019104,0.0,0.0,0.48275449872016907,0.011258900165557861,0.4615740478038788,0.49937066435813904,0.0,0.0
3,0.6926544904708862,0.6484832763671875,0.5267177820205688,0.5228374600410461,0.5230734348297119,0.06687546521425247,0.008822550997138023,0.43264463543891907,0.2518959641456604,0.07093928009271622,1.0,0.0,0.0625,0.0625,0.48256900906562805,0.012016692198812962,0.45835208892822266,0.505092442035675,0.0,0.0,0.47579696774482727,0.015209860168397427,0.4522307813167572,0.5024043321609497,0.0,0.0
4,0.6911650896072388,0.6543956995010376,0.5242653489112854,0.519754946231842,0.5199856162071228,0.06598799675703049,0.008299161680042744,0.4336031973361969,0.2599591314792633,0.05664578080177307,1.0,0.0,0.0833333358168602,0.041666666666666664,0.4772186279296875,0.013027222827076912,0.45446136593818665,0.5000437498092651,0.0,0.0,0.4704303443431854,0.016412684693932533,0.4421922564506531,0.4935970604419708,0.0,0.0
5,0.6904546022415161,0.6577762365341187,0.522756040096283,0.5179957747459412,0.5183343291282654,0.08292046934366226,0.010301686823368073,0.45476365089416504,0.2741391062736511,0.050466060638427734,1.0,0.0,0.0833333358168602,0.041666666666666664,0.4698515236377716,0.0173332579433918,0.43832793831825256,0.4943503737449646,0.0,0.0,0.4611452519893646,0.0232534296810627,0.42696988582611084,0.4896700382232666,0.0,0.0
6,0.6901975870132446,0.6575719118118286,0.5222852826118469,0.5180352330207825,0.5185664296150208,0.07151806354522705,0.013098505325615406,0.4341130256652832,0.24800501763820648,0.053316518664360046,1.0,0.0,0.0416666679084301,0.020833333333333332,0.4623880386352539,0.022854231297969818,0.4260706603527069,0.49250006675720215,0.0,0.0,0.4480322301387787,0.02916020341217518,0.4047386944293976,0.48308151960372925,0.0,0.0
7,0.6896736025810242,0.6618446707725525,0.5209394693374634,0.5157595276832581,0.5166205763816833,0.06457015126943588,0.01761690340936184,0.4424438178539276,0.23766407370567322,0.04670685902237892,1.0,0.010416666977107525,0.0416666679084301,0.03125,0.4503236711025238,0.02717209979891777,0.3905597925186157,0.483161985874176,0.0,0.0,0.43155017495155334,0.035953275859355927,0.3625484108924866,0.4778406322002411,0.0,0.0
8,0.6910274028778076,0.6657230854034424,0.5176722407341003,0.5139784216880798,0.5145781636238098,0.05724308639764786,0.018329324200749397,0.47448036074638367,0.2573634386062622,0.07304368168115616,1.0,0.0,0.02083333395421505,0.020833333333333332,0.4349636137485504,0.03265940025448799,0.3766634166240692,0.4769994616508484,0.0,0.0,0.4248065948486328,0.032690346240997314,0.3628844916820526,0.47102808952331543,0.0,0.0
9,0.6891288757324219,0.6709400415420532,0.5169486403465271,0.5111482739448547,0.5123246312141418,0.06934822350740433,0.022041404619812965,0.42068636417388916,0.25011196732521057,0.034158699214458466,1.0,0.03125,0.0520833320915699,0.052083333333333336,0.42184576392173767,0.0349079854786396,0.3455300033092499,0.47243496775627136,0.0,0.0,0.3993000090122223,0.042067304253578186,0.30853724479675293,0.460317462682724,0.0,0.0
10,0.6912426948547363,0.6700645685195923,0.5156763195991516,0.5118049383163452,0.5130226016044617,0.07840604335069656,0.02434103563427925,0.4662254750728607,0.22468364238739014,0.039521340280771255,1.0,0.010416666977107525,0.010416666977107525,0.010416666666666666,0.40289393067359924,0.04165045544505119,0.31273552775382996,0.46415743231773376,0.0,0.0,0.38048255443573,0.043456465005874634,0.2778854966163635,0.445745050907135,0.0,0.0
