step,loss,score_mean,score_std,w_l0_q0_RX,w_l0_q0_RY,w_l0_q0_RZ,w_l0_q1_RX,w_l0_q1_RY,w_l0_q1_RZ,w_l0_q2_RX,w_l0_q2_RY,w_l0_q2_RZ,w_l0_q3_RX,w_l0_q3_RY,w_l0_q3_RZ,w_l0_q4_RX,w_l0_q4_RY,w_l0_q4_RZ,w_l0_q5_RX,w_l0_q5_RY,w_l0_q5_RZ,w_l1_q0_RX,w_l1_q0_RY,w_l1_q0_RZ,w_l1_q1_RX,w_l1_q1_RY,w_l1_q1_RZ,w_l1_q2_RX,w_l1_q2_RY,w_l1_q2_RZ,w_l1_q3_RX,w_l1_q3_RY,w_l1_q3_RZ,w_l1_q4_RX,w_l1_q4_RY,w_l1_q4_RZ,w_l1_q5_RX,w_l1_q5_RY,w_l1_q5_RZ
1,0.21169836240677364,0.5464439325170711,0.07736443800540983,0.15249077541087802,-0.5222133106974252,0.3751283264254161,0.4701403044586177,-0.973841092258644,-0.6508763505458443,0.0639556498090615,-0.15677348506115082,-0.008283385360723513,-0.42636509510870657,0.44224801490043847,0.3891272393370099,0.03324787410071191,0.5637679324074718,0.23431661668628043,-0.4285344595541757,0.18315760529280567,-0.48026837505063946,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.341198269517615,0.6134723330214732,-0.07726474103440108,-0.21512337401514733,-0.1754927608391661,0.26615459277667436,0.1818920013373573,0.20300377326560218,0.21541050150394137,1.0716944917769569,-0.20346973393415088,-0.25612136453576867,-0.40736250870805857,0.3082881958255765,0.5644861463604458
2,0.2448638481260779,0.5065809506343675,0.037436480791566445,0.15221703094295422,-0.522271889134269,0.3749918809363229,0.4705628467314341,-0.9740300322478462,-0.6505149950649554,0.06429687709008207,-0.15724013745455112,-0.007674654902214239,-0.42695174076946385,0.44193628919907113,0.3892495789750091,0.03278214405816491,0.5642358338339508,0.2343371036841645,-0.4307869134381945,0.18109639411348338,-0.4778131239809815,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3409581930776785,0.6141957360941016,-0.07726474103440108,-0.2147341448453522,-0.1759776894598252,0.26615459277667436,0.1826159011496928,0.2016532983181467,0.21541050150394137,1.0734475584077658,-0.20490093635833406,-0.25612136453576867,-0.4071969096738546,0.3086860163336308,0.5644861463604458
3,0.24066368502627658,0.5146640033711214,0.07150283660941979,0.15241808648774577,-0.5217835025419953,0.37507801911996697,0.4704885169750654,-0.9733986341852477,-0.650281438981086,0.06433673595238178,-0.15648332520676242,-0.007466291336086534,-0.4267143522043749,0.4403587318346215,0.38888136423810993,0.03216992972328133,0.5609941382354618,0.2345716598523097,-0.42971275370161255,0.18134245788244302,-0.4754782220200905,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34088656415541513,0.6135531157164661,-0.07726474103440108,-0.21310432881711958,-0.17610812704896547,0.26615459277667436,0.18290876757265906,0.20168673851946847,0.21541050150394137,1.0731407016109058,-0.20502950395479277,-0.25612136453576867,-0.40860956197757703,0.30863818482066724,0.5644861463604458
4,0.23412395168211098,0.5196436910489053,0.058152973845843316,0.15238148487120548,-0.5220639311241567,0.37487489868153057,0.4706116260659354,-0.9742203184438621,-0.650424602109472,0.06463140577686992,-0.15593418342529738,-0.0071440510255012185,-0.42699951784743084,0.44060689014601473,0.38914658612180175,0.031174892190500663,0.5604543128308098,0.23504450132699164,-0.43013125932528545,0.18066187728909622,-0.47458433203864386,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3405453391782262,0.6143724431851967,-0.07726474103440108,-0.2136137375190458,-0.17602277953180648,0.26615459277667436,0.18327517520375206,0.2005302819742636,0.21541050150394137,1.0752354038201068,-0.20555712703945517,-0.25612136453576867,-0.4096288271961662,0.3084843853316695,0.5644861463604458
5,0.22556266694957627,0.5333712332335285,0.08843224073346169,0.152392683209379,-0.5217638816030645,0.3745323890126641,0.46968427432057636,-0.9727188384639864,-0.6504627885198361,0.06431754882562858,-0.15735924948297905,-0.007195097344258344,-0.42668782174096476,0.4411280299867727,0.3892569820544625,0.03098031129271595,0.5590281347604259,0.23488701578881505,-0.42970174438641195,0.18125982110716427,-0.4741356465462658,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33990381223318367,0.6133592962431095,-0.07726474103440108,-0.21262910542147767,-0.1753124498808365,0.26615459277667436,0.18361352215209734,0.20089907205504318,0.21541050150394137,1.074786971980243,-0.2054192760320268,-0.25612136453576867,-0.4107980894446184,0.3078183878381168,0.5644861463604458
6,0.2458652348514508,0.5047237765748891,0.023805411298183532,0.15259996592122316,-0.5216972338406766,0.37455691969252625,0.4694359856696083,-0.9733074790081622,-0.6507582785084214,0.06434316902883033,-0.1576475633480304,-0.007362605588476084,-0.42690467554651224,0.44182906824784557,0.3890335521328981,0.02986691947878741,0.5595474843158804,0.23666816485020686,-0.4294855775397089,0.17884071332977902,-0.471676756208164,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33948859856625735,0.6110399252833181,-0.07726474103440108,-0.21332266473128397,-0.1752858646882629,0.26615459277667436,0.18216804041839854,0.20221467471737528,0.21541050150394137,1.072828990423203,-0.20559894109135407,-0.25612136453576867,-0.4107879570307401,0.3081743402549239,0.5644861463604458
7,0.2441200171272664,0.5072819919361856,0.036728488956304185,0.15289098280459154,-0.5218638447678942,0.3744656851730021,0.4696019040847609,-0.9735080560522921,-0.650392039804949,0.06390841100438638,-0.15682589809832698,-0.007504685908695541,-0.42700143953655006,0.4421832153509972,0.3891344303267012,0.029307813599029394,0.5588113178218109,0.2366569900398996,-0.43056882426546966,0.17939131076193862,-0.4717111243930968,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33902344036162774,0.6104061417251718,-0.07726474103440108,-0.21390793067517488,-0.17425676337483534,0.26615459277667436,0.18200967638469523,0.203144340005759,0.21541050150394137,1.07308869594385,-0.2051098966836052,-0.25612136453576867,-0.410187266740122,0.3075165646986009,0.5644861463604458
8,0.22804683442020263,0.5238693143322775,0.036693389238851626,0.15300384557875607,-0.5207636395846311,0.37452293424090916,0.46937491552299676,-0.9729345624297707,-0.6506664700658427,0.06418591170812077,-0.1557263704291734,-0.0075291461098317015,-0.4290265715131991,0.4416898961544205,0.3889663806045045,0.028564912163143025,0.559675659779465,0.2376610330030908,-0.43009474640644946,0.18242306401187258,-0.4688332122441535,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33937312072601,0.6100798425088397,-0.07726474103440108,-0.21400555102654342,-0.17345237859380666,0.26615459277667436,0.1825193676180898,0.20371258371032938,0.21541050150394137,1.074732561205734,-0.20535473884611727,-0.25612136453576867,-0.4118940294935153,0.3084572381083609,0.5644861463604458
9,0.23963000084464092,0.5112925387210103,0.028196070196318212,0.15267257679353138,-0.5213323596359873,0.37440948822632436,0.4691242453498746,-0.9733536904814226,-0.6506014780885382,0.06414571712819478,-0.15466751851243699,-0.007192395810069784,-0.4291055958168102,0.44106553532090204,0.3883636922552677,0.028161596344826866,0.5593166905283007,0.23801251461372966,-0.43102298729597555,0.18306346726462122,-0.4688729570294797,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33876671960162386,0.6090685230690592,-0.07726474103440108,-0.21349119477827022,-0.17306587797032277,0.26615459277667436,0.18212113508116023,0.20299749888530802,0.21541050150394137,1.0741884173777074,-0.20499888040114986,-0.25612136453576867,-0.41132695801659186,0.30793089487650793,0.5644861463604458
10,0.23920592164163115,0.5129116851434777,0.044168941701953374,0.1525927107799963,-0.5208020271939975,0.3742151937189024,0.469857163426934,-0.9748335732498089,-0.6505926036730588,0.06421025158483464,-0.15603115052452715,-0.007700532461332046,-0.4295679521710189,0.43972508939703636,0.3883965502897851,0.028014979722861526,0.560077524259039,0.2384880610289396,-0.4306791250162856,0.18090816648994126,-0.4690989380530948,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33891621820209095,0.6083559461327693,-0.07726474103440108,-0.21364014413111043,-0.17219560916166368,0.26615459277667436,0.18095200866882244,0.20570051223736888,0.21541050150394137,1.0751654918672677,-0.20583687481708268,-0.25612136453576867,-0.4125515279757976,0.30922674342918616,0.5644861463604458
