step,loss,w1,w2,w3,entropy,var
1,0.01018668165873767,0.32690987341974026,0.2957181768841907,0.3773719496960692,1.093554146248219,0.0011318535210330795
2,0.010103436958859277,0.32683346978216227,0.2959357560188933,0.3772307741989446,1.093596114492156,0.001122604109907732
3,0.010021243013763857,0.3267577829782697,0.2961516289352977,0.3770905880864328,1.093637542531137,0.0011134714493141764
4,0.0099400843953656,0.3266828087901003,0.29636580927779366,0.3769513819321061,1.0936784384683758,0.0011044538250206506
5,0.009859945896180574,0.32660854296691644,0.29657831064280676,0.3768131463902769,1.093718810287605,0.0010955495473067125
6,0.009780812527080742,0.32653498122741653,0.2967891465765143,0.3766758721960692,1.0937586658543963,0.0010867569507136865
7,0.009702669515026387,0.32646211926188295,0.2969983305726613,0.37653955016545587,1.0937980129174878,0.0010780743937927105
8,0.0096255023007798,0.32638995273426696,0.29720587607047033,0.3764041711952628,1.0938368591101164,0.0010695002588507008
9,0.00954929653660169,0.3263184772842126,0.297411796452647,0.37626972626314054,1.0938752119513566,0.001061032951694398
10,0.009474038083933819,0.32624768852902003,0.29761610504347424,0.3761362064275059,1.093913078847462,0.0010526709013728812
11,0.00939971301106926,0.3261775820655502,0.2978188151069958,0.3760036028274541,1.0939504670932108,0.001044412559918711
12,0.00932630759081259,0.3261081534720718,0.29801993984528563,0.37587190668264264,1.0939873838732534,0.0010362564020879458
13,0.009253808298131943,0.32603939831005163,0.2982194923968007,0.3757411092931478,1.094023836263458,0.0010282009250992634
14,0.0091822018078054,0.32597131212588987,0.2984174858348141,0.3756112020392962,1.09405983123226,0.001020244648372445
15,0.009111474992062368,0.3259038904526015,0.2986139331659284,0.3754821763814702,1.0940953756420073,0.0010123861132663103
16,0.009041614918223053,0.3258371288114443,0.29880884732866464,0.37535402385989114,1.094130476250306,0.001004623882816433
17,0.008972608846336796,0.3257710227134958,0.2990022411921253,0.37522673609437895,1.0941651397113605,0.0009969565414727358
18,0.008904444226820818,0.3257055676611797,0.29919412755473057,0.3751003047840899,1.094199372577315,0.0009893826948371277
19,0.008837108698101795,0.32564075914974216,0.299384519143023,0.3749747217072349,1.0942331812995838,0.0009819009694014577
20,0.00877059008426035,0.3255765926686813,0.29957342861054187,0.374849978720777,1.094266572230185,0.0009745100122857912
21,0.008704876392680784,0.32551306370312794,0.299760868536762,0.3747260677601101,1.0942995516230618,0.0009672084909772682
22,0.008639955811707355,0.32545016773518226,0.2999468514260967,0.3746029808387211,1.0943321256354022,0.0009599950930696913
23,0.008575816708307286,0.32538790024520375,0.3001313897069632,0.3744807100478333,1.0943643003289492,0.0009528685260038597
24,0.008512447625743066,0.3253262567130584,0.300314495730907,0.37435924755603467,1.094396081671305,0.0009458275168089343
25,0.008449837281254029,0.32526523261932355,0.30049618177178533,0.3742385856088912,1.0944274755372294,0.000938870811844838
26,0.008387974563748665,0.3252048234464495,0.300676460025006,0.37411871652854456,1.0944584877099262,0.0009319971765458434
27,0.008326848531508719,0.32514502467988227,0.30085534260682095,0.3739996327132968,1.0944891238823231,0.0009252053951654737
28,0.008266448409905747,0.32508583180914546,0.3010328415536727,0.37388132663718204,1.0945193896583443,0.000918494270522788
29,0.008206763589131104,0.32502724032888386,0.30120896882159093,0.3737637908495253,1.0945492905541698,0.000911862623750155
30,0.008147783621940147,0.3249692457398697,0.3013837362856396,0.37364701797449085,1.0945788319994882,0.0009053092940426111
31,0.008089498221411332,0.3249118435499715,0.30155715573941055,0.37353100071061807,1.0946080193387386,0.0008988331384088697
32,0.008031897258721185,0.32485502927508775,0.30172923889456355,0.3734157318303488,1.0946368578323404,0.0008924330314240975
33,0.007974970760935285,0.3247987984400456,0.3018999973804107,0.3733012041795437,1.0946653526579158,0.0008861078649844665
34,0.007918708908816404,0.3247431465794655,0.3020694427435441,0.37318741067699046,1.0946935089114973,0.0008798565480636145
35,0.00786310203464994,0.3246880692385927,0.3022375864475046,0.3730743443139028,1.0947213316087268,0.0008736780064710273
