step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.6944274306297302,0.6901913285255432,0.5011996626853943,0.501475989818573,0.5015634894371033,0.03418567776679993,0.003551821457222104,0.43108558654785156,0.21449922025203705,0.03941784054040909,1.0,0.02083333395421505,0.02083333395421505,0.020833333333333332,0.4912745952606201,0.02030845731496811,0.45713409781455994,0.5185787677764893,0.0,0.0,0.4892224371433258,0.024905972182750702,0.45328664779663086,0.5290936231613159,0.0,0.0
2,0.6933984756469727,0.6986267566680908,0.4986096918582916,0.49727678298950195,0.49737465381622314,0.04055023193359375,0.004416624084115028,0.3786695897579193,0.20628933608531952,0.022573940455913544,1.0,0.03125,0.010416666977107525,0.010416666666666666,0.48908671736717224,0.025743968784809113,0.4535011649131775,0.5269959568977356,0.0,0.0,0.4848497807979584,0.029727766290307045,0.4420498311519623,0.5274868011474609,0.0,0.0
3,0.6927521824836731,0.6988708972930908,0.4987753927707672,0.49714553356170654,0.4972105026245117,0.05000419542193413,0.0030090368818491697,0.48936280608177185,0.2762795090675354,0.04133155941963196,1.0,0.010416666977107525,0.1041666641831398,0.09375,0.48463985323905945,0.029887009412050247,0.44225430488586426,0.5284367799758911,0.0,0.0,0.4806990921497345,0.03389589861035347,0.4348633587360382,0.5309317111968994,0.0,0.0
4,0.6916871070861816,0.6999921202659607,0.4990958571434021,0.4965980648994446,0.49662184715270996,0.04547663778066635,0.00269086635671556,0.4547102153301239,0.2590086758136749,0.040744900703430176,1.0,0.010416666977107525,0.03125,0.010416666666666666,0.48082873225212097,0.03424029052257538,0.4346262514591217,0.5325279831886292,0.0,0.0,0.47702622413635254,0.034967657178640366,0.4272661507129669,0.5312822461128235,0.0,0.0
5,0.6908774375915527,0.7013928890228271,0.49910658597946167,0.4959005117416382,0.49600809812545776,0.04131201282143593,0.005226681474596262,0.4239281713962555,0.25977623462677,0.030137380585074425,1.0,0.02083333395421505,0.03125,0.020833333333333332,0.4761148989200592,0.03521961718797684,0.42570027709007263,0.5322594046592712,0.0,0.0,0.47008398175239563,0.03338294476270676,0.41622692346572876,0.5213322639465332,0.0,0.0
6,0.6906033754348755,0.7004544138908386,0.49991726875305176,0.4963483512401581,0.49653321504592896,0.047177620232105255,0.00741723645478487,0.44428277015686035,0.22804440557956696,0.05845046043395996,1.0,0.0,0.02083333395421505,0.010416666666666666,0.46987783908843994,0.03388246148824692,0.41947829723358154,0.5217120051383972,0.0,0.0,0.46428918838500977,0.028812609612941742,0.42155659198760986,0.5084174871444702,0.0,0.0
7,0.6910984516143799,0.6962165832519531,0.5014156103134155,0.4984667897224426,0.49865496158599854,0.04754124954342842,0.007486552465707064,0.5122568011283875,0.2533944845199585,0.059058938175439835,1.0,0.0,0.0625,0.041666666666666664,0.4630255699157715,0.030503738671541214,0.4197241961956024,0.5102109909057617,0.0,0.0,0.4574047029018402,0.025205310434103012,0.41870495676994324,0.49706515669822693,0.0,0.0
8,0.6891937255859375,0.6945181488990784,0.5042852163314819,0.4993171691894531,0.4996020495891571,0.03938577324151993,0.010285314172506332,0.4652717113494873,0.23369625210762024,0.03453962132334709,0.9765801429748535,0.010416666977107525,0.010416666977107525,0.0,0.45725584030151367,0.02530345506966114,0.421550452709198,0.4969377815723419,0.0,0.0,0.4552995264530182,0.018821218982338905,0.42705604434013367,0.4862483739852905,0.0,0.0
9,0.6895387768745422,0.6962019801139832,0.5027849078178406,0.49846789240837097,0.49883604049682617,0.04155280441045761,0.010452388785779476,0.42975330352783203,0.23162756860256195,0.04517294093966484,1.0,0.010416666977107525,0.0520833320915699,0.03125,0.45456674695014954,0.018412921577692032,0.4254319369792938,0.48670148849487305,0.0,0.0,0.4499518573284149,0.013892097398638725,0.42785611748695374,0.47861140966415405,0.0,0.0
10,0.689125657081604,0.6962853670120239,0.5033475160598755,0.4984644949436188,0.49889275431632996,0.040753964334726334,0.012941834516823292,0.45079681277275085,0.24773015081882477,0.05403589829802513,1.0,0.0,0.03125,0.010416666666666666,0.45054924488067627,0.01415361650288105,0.4212436079978943,0.4829922914505005,0.0,0.0,0.44709694385528564,0.0154005978256464,0.4226565361022949,0.4866342544555664,0.0,0.0
