run_id,run_dir,status,score,notes,final_loss_d,final_loss_g,final_score_real,final_score_fake_d,final_score_fake_g,mean_loss_d_last,mean_loss_g_last,std_loss_d_last,std_loss_g_last,max_grad_norm_d,max_grad_norm_g,mean_fake_g_near_zero_last,mean_fake_g_near_one_last,disc_lr,gen_lr,disc_steps_per_gen,grad_clip_norm,training_steps,batch_size,disc_warmup_steps,latent_distribution,label_real,label_fake
run_018,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201903_run_018,ok,-0.03466392716578443,balanced-discriminator,0.6766420602798462,0.707817792892456,0.5120190382003784,0.4935722947120666,0.4933843314647674,0.6920074841805867,0.6923004205737795,0.010797188717598282,0.018796880393415413,0.9466886520385742,2.8685526847839355,0.0022321429170135895,0.0,0.001,0.001,1,1.0,700,16,0,uniform,1.0,0.0
run_015,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201757_run_015,ok,-0.10077700332228455,balanced-discriminator,0.6866210699081421,0.7217401266098022,0.5079724788665771,0.4860657155513763,0.4879264831542969,0.6912389793566295,0.7191112458705902,0.026836435818705054,0.07368883825358083,6.234360694885254,12.79847812652588,0.06607142869782234,0.02224702382726328,0.004,0.004,1,1.0,700,16,0,uniform,1.0,0.0
run_016,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201818_run_016,ok,-0.12952600772860245,balanced-discriminator,0.7289556264877319,0.679973840713501,0.480620801448822,0.5057133436203003,0.5108182430267334,0.665371584040778,0.7344112694263458,0.04434498045130526,0.03284351077330769,0.6411299109458923,1.5107923746109009,0.0015625000399138215,0.0,0.00025,0.00025,1,1.0,700,16,0,uniform,1.0,0.0
run_009,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201549_run_009,ok,-0.18121270723210947,ok,0.6699339151382446,0.7239503860473633,0.534461498260498,0.483773410320282,0.4957639575004577,0.693208846449852,0.7558342063426972,0.0722047269822684,0.07778242478091565,2.0446906089782715,4.208670139312744,0.21052083496935667,0.08364583399146795,0.002,0.002,1,0.5,500,16,0,uniform,1.0,0.0
run_013,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201714_run_013,ok,-0.19662444410243832,ok,0.6248198747634888,0.7925778031349182,0.5375416874885559,0.4560669958591461,0.4595189690589905,0.688649685042245,0.7385490894317627,0.06253414648044783,0.08446653991141212,1.6243489980697632,5.36313533782959,0.07738095232551652,0.004389880970120427,0.001,0.001,1,1.0,700,16,0,uniform,1.0,0.0
run_007,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201510_run_007,ok,-0.21224345349440013,ok,0.6266597509384155,0.7933634519577026,0.530423641204834,0.4521280527114868,0.4577265679836273,0.6562756419181823,0.7486265069246292,0.033630528278137214,0.06272207919398513,0.940304160118103,2.2224690914154053,0.0012500000093132251,0.0,0.0005,0.0005,1,0.5,500,16,0,uniform,1.0,0.0
run_014,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201735_run_014,ok,-0.23808569487316267,balanced-discriminator,0.6837148666381836,0.7603918313980103,0.4943937957286834,0.4697682559490204,0.4839034080505371,0.6843134162681443,0.7967518278530665,0.07796777189607039,0.1102763934696256,2.2526073455810547,3.3128256797790527,0.14880952366095568,0.05915178595376866,0.002,0.002,1,1.0,700,16,0,uniform,1.0,0.0
run_019,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201924_run_019,ok,-0.2854432194026705,balanced-discriminator,0.711937427520752,0.6346594095230103,0.5177693963050842,0.5299124121665955,0.5312892198562622,0.6695431330374308,0.7735411081995283,0.128513665418341,0.14259091531744386,0.8567650318145752,2.045056104660034,0.17395833386108278,0.0683035729985152,0.00025,0.00025,1,1.0,700,16,0,uniform,1.0,0.0
run_001,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201252_run_001,ok,-0.29773905716427074,ok,0.6417844295501709,0.8262314200401306,0.5058995485305786,0.4368571043014526,0.4548843502998352,0.6315119230747223,0.8206196874380112,0.03333513378246025,0.051175510138595094,1.0483384132385254,2.537760734558105,0.0,0.0,0.0005,0.0005,1,1.0,500,16,0,uniform,1.0,0.0
run_002,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201317_run_002,ok,-0.4358458390822069,ok,0.5872315168380737,0.7840163707733154,0.6145288944244385,0.4491934478282928,0.501899003982544,0.6697719800472259,0.8468910807371139,0.15209180696066407,0.13237284140333458,1.2093337774276731,3.7699599266052246,0.1484375004284084,0.02989583333954215,0.001,0.001,1,1.0,500,16,0,uniform,1.0,0.0
