step,disc_loss,disc_loss_real,disc_loss_fake,disc_grad_norm,gen_loss,gen_grad_norm,real_score_mean,real_score_std,real_score_min,real_score_max,fake_score_mean_disc,fake_score_std_disc,fake_score_min_disc,fake_score_max_disc,fake_score_mean_gen,fake_score_std_gen,fake_score_min_gen,fake_score_max_gen
1,0.6961065237048889,0.6712941371278862,0.713118207425185,0.04555516162728486,0.66528497069572,0.023495986846880264,0.5114815739293375,0.02160815082032466,0.48829119127794973,0.5780237099995778,0.5097202451810042,0.012811122102930788,0.4863375042186248,0.5251430592043843,0.5142282319823881,0.010168356738069371,0.4925929418857528,0.5344181503873752
2,0.7023943164725543,0.6896284875344623,0.7221686664602912,0.04144267104854567,0.6705244845356642,0.012282224297359945,0.5020873619991749,0.018128552063908638,0.4735950924013166,0.5443920651656111,0.5142168384610754,0.009129374552828038,0.4942755211008574,0.5267019866598622,0.5116135551555301,0.013082764454263832,0.46906516251206626,0.5260100057773716
3,0.6963805165989609,0.6729769478550726,0.718773776951378,0.04528491057024815,0.6812306368895564,0.01690877636893711,0.5105928065886819,0.020467084152700456,0.48019438906887807,0.548644934913721,0.5124291947877122,0.014932501118050546,0.4738513853143051,0.5313224727054585,0.5061151285557526,0.011069676477236669,0.4879151541794249,0.5242033605230941
4,0.6869378588463185,0.6647170121994492,0.6953077817505294,0.0428431824047354,0.6788303867600928,0.014474530015397474,0.5150157480105337,0.02527105806128986,0.47406959949289507,0.58741145821646,0.5008815788048449,0.01415884681796223,0.4626816138481487,0.5173470639966967,0.5073110066030029,0.010124171254215173,0.49091079973483653,0.5240731422597943
5,0.69915176953369,0.6776511274550012,0.7203886001885942,0.04331047559108052,0.662356858284644,0.02135460082061163,0.5081380200779606,0.01828726532051933,0.4738782904674674,0.5417266641945712,0.5133701959433377,0.008074345907073099,0.49316567065677347,0.5276040236711582,0.5159584199871752,0.0186608688696956,0.48489227811068797,0.5775303458811936
6,0.6896963221172097,0.6675030007703866,0.7080016750041906,0.04740326551479237,0.6905650147040685,0.027955249744511808,0.5138470677110483,0.031074114763024588,0.48883906552478595,0.6204798112466154,0.5072546269925273,0.010772481770703815,0.4889992578712384,0.5247056686876129,0.5023350432433816,0.030251354285768018,0.39129844189496404,0.5309629673130056
7,0.6999959005029934,0.6754747241237935,0.7292176796036884,0.04749459046358047,0.677570981617647,0.025563151141749542,0.5095011083898959,0.025233341518926082,0.4831432450179678,0.5931682204187962,0.5174559045669278,0.015388946071978361,0.4986355678862381,0.5697015682367363,0.5080607195142217,0.014711546837357004,0.4874274865699242,0.5400289761244041
8,0.6899809620082848,0.6650422935594291,0.7064588634844049,0.044046477871831864,0.6798740839914275,0.012246128382903688,0.5147389212431748,0.022478211554016157,0.47856478203970754,0.5660386792633576,0.5065181058244088,0.009601195617570423,0.4919727465363801,0.5216218575807419,0.5067888989864833,0.010458198217161709,0.48643143047810106,0.524958672870884
9,0.6888332653708007,0.6616218480264143,0.7048887739052032,0.04978282162166953,0.6688836670920204,0.015602107449719743,0.517439278175623,0.03973036018205905,0.47829450021010367,0.6288788043592256,0.5057513586183461,0.009169512363521816,0.48933732559374593,0.5243215233484123,0.5124554272371068,0.013279791455916323,0.47704694565067324,0.5377651463244527
10,0.7026900198797918,0.6759045618406714,0.7219985307299506,0.04601851679772179,0.6744549257538861,0.015379785158251492,0.5089138703163643,0.014816185241426898,0.47771272275008453,0.52953290719348,0.5141400211501751,0.008872089853386268,0.48866161275722675,0.5247616787281421,0.5094946191542171,0.007833594982235896,0.491565646998101,0.523227063238134
11,0.6895247246857479,0.681773658269894,0.7025640610325276,0.04211322241996704,0.6672632717985834,0.0127061608882387,0.5061450549114255,0.020773960458844054,0.4719165630999087,0.5517035041826823,0.5044949562570569,0.013963352997513492,0.4625924662050299,0.5211635766198917,0.513173623748341,0.008015622558884163,0.499274730312909,0.5263841324689512
12,0.6984089667150646,0.6718432266393386,0.7189218499316229,0.04217427499774661,0.669077048787744,0.019614796695744962,0.5109809784316977,0.014818358113482663,0.4806728043678172,0.5401313700133625,0.5125989343346407,0.01101712311412419,0.49225080074215455,0.5295898398111467,0.5122444725377683,0.008020460123827055,0.4929631238534604,0.5220838311575827
13,0.6943647268887219,0.6722386754484074,0.7084685707237866,0.04405752969006492,0.6733285289529245,0.01571417376113157,0.5112991423074472,0.027840712924900302,0.47436864853562233,0.5788798179205263,0.507428192096567,0.0131964632201277,0.47208522942241365,0.5231859798212699,0.510106413798832,0.010002292203344896,0.49207574396334147,0.5273793708485706
14,0.6917688402568478,0.6775305827955302,0.7066060944563297,0.04062162511878647,0.6744653810128896,0.012770872236208505,0.5081552840287286,0.017130918621818734,0.47561639378284865,0.5494876451232814,0.5065664664936556,0.010755147611570955,0.4900052510533631,0.5279885868360675,0.509493998986234,0.008115049424746074,0.4896496040376165,0.5189261882121995
15,0.6905154378329752,0.6835270627587442,0.7041239464970293,0.03136020994953871,0.6724941723256397,0.01236776182805574,0.5050775816862174,0.015754500760653076,0.4826280716585477,0.5317738368595798,0.5054131846680283,0.006680349906126863,0.49703243781774603,0.5158605359616654,0.510495689938612,0.007932384873586683,0.4950895300373235,0.5209902793889203
16,0.6887538104521941,0.6669034540939338,0.6972326607375391,0.04186330723221436,0.6717294649720287,0.007793097174170879,0.5136716095084852,0.01985951967413413,0.49155904271782425,0.5616292556877936,0.5019884303874966,0.007051038798872544,0.4917113729296913,0.515091177526614,0.5109034941282071,0.008953192111552514,0.4909463496967317,0.5251115705700409
17,0.6952215327197524,0.6776351047338101,0.7089376906546659,0.03905001809297136,0.6720007005528847,0.018600538237029087,0.5081087444175433,0.01719999196621041,0.4703141866288417,0.5357288023460791,0.5077019733791502,0.011405296704284654,0.487112419027526,0.5230075066746839,0.5107302910574056,0.006704315115539469,0.49183812763499923,0.5222324682566768
18,0.6979317515771779,0.6657707909769914,0.7119520025195452,0.03984148927409367,0.6712293443105634,0.019697934529848037,0.514287085653141,0.020517985733920004,0.4673307016192303,0.5623487108975633,0.5092159304936861,0.00985480973155118,0.49058828296695933,0.5236047415491925,0.5111922953409354,0.010634694601660598,0.4839407181462108,0.5229913604931616
19,0.6995200491714368,0.6777420710923396,0.7231712146933817,0.037315585418472755,0.6814145276718286,0.014392095669495047,0.5080075232416019,0.015711112895402463,0.4773788753382025,0.5281014795184467,0.5145110904289925,0.016033927560086755,0.49135097451883464,0.5678757992537722,0.5060803297626664,0.013322013815852235,0.469361447230861,0.5203275168951393
20,0.6984673910392556,0.6949603731992404,0.7010748522771526,0.04258597364100115,0.6965595857072322,0.021675333051996697,0.4993057054512847,0.014608068357161294,0.4711585991896231,0.5321617390950811,0.5037676051322503,0.013343840599828197,0.484081757001485,0.5340226851966715,0.4984295337889008,0.011511453103305147,0.47347025646859414,0.5216071159871176
21,0.6834825645172794,0.6560730242336444,0.7013253191366194,0.04689818491390135,0.6724392058949535,0.01720731182665856,0.5199049928690895,0.03352762511444745,0.48596112097104177,0.6154615496416476,0.5038675349740707,0.014387440397705177,0.4646512658214089,0.5227694376892216,0.510538956806383,0.008816041472904892,0.49058040336205394,0.5209458840784423
