step,loss,score_mean,score_std,w_l0_q0_RX,w_l0_q0_RY,w_l0_q0_RZ,w_l0_q1_RX,w_l0_q1_RY,w_l0_q1_RZ,w_l0_q2_RX,w_l0_q2_RY,w_l0_q2_RZ,w_l0_q3_RX,w_l0_q3_RY,w_l0_q3_RZ,w_l0_q4_RX,w_l0_q4_RY,w_l0_q4_RZ,w_l0_q5_RX,w_l0_q5_RY,w_l0_q5_RZ,w_l1_q0_RX,w_l1_q0_RY,w_l1_q0_RZ,w_l1_q1_RX,w_l1_q1_RY,w_l1_q1_RZ,w_l1_q2_RX,w_l1_q2_RY,w_l1_q2_RZ,w_l1_q3_RX,w_l1_q3_RY,w_l1_q3_RZ,w_l1_q4_RX,w_l1_q4_RY,w_l1_q4_RZ,w_l1_q5_RX,w_l1_q5_RY,w_l1_q5_RZ
1,0.21169836240677364,0.5464439325170711,0.07736443800540983,0.15222630434355333,-0.5177707955430704,0.37532286938104115,0.47042441193259615,-0.9771940963951924,-0.6513031563164738,0.06388475335822387,-0.15946910728243138,-0.008517772143565283,-0.4266788324648735,0.4371499599623901,0.38866469609193843,0.03278282346050414,0.5634732745605611,0.23319272556576515,-0.43075800332906256,0.18559317878969317,-0.47861422577835944,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3397312748863264,0.6090690056525571,-0.07726474103440108,-0.21320444814795989,-0.1766407896490635,0.26615459277667436,0.18355206302672103,0.20972883833038622,0.21541050150394137,1.0699531090935044,-0.2029452824504647,-0.25612136453576867,-0.40641021953981915,0.30769122674991917,0.5644861463604458
2,0.2449807615339889,0.5064555719298685,0.037345137566977014,0.15250033887040268,-0.5177088786361536,0.37546026258158116,0.47000920519415157,-0.9770152328847187,-0.6516605470316934,0.06353883678999812,-0.15896997930886236,-0.009140259671052477,-0.42609012440585964,0.43746820821038196,0.3885345654478249,0.03325023223215302,0.5630161724059637,0.23317348743073243,-0.42853145762031286,0.18761645613252564,-0.48105404905355786,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3399747668046028,0.6083642956794142,-0.07726474103440108,-0.21360648969944554,-0.17613585583337052,0.26615459277667436,0.18282212760374136,0.21108045707695466,0.21541050150394137,1.0681793285551735,-0.2015188061061924,-0.25612136453576867,-0.4065606364645955,0.3073031971274092,0.5644861463604458
3,0.24022864272046252,0.5151342176558222,0.07165065297999468,0.15230759274581185,-0.5182080710717377,0.37538033972381907,0.4700803247853374,-0.9776367505294962,-0.6518945081870169,0.06350014975818571,-0.15973626577400718,-0.009352440754360813,-0.4263204491823572,0.43902231603198266,0.3888995769685743,0.03384718802062577,0.5662447541230518,0.2329488916118,-0.429560180385254,0.1873629417682121,-0.4833898165314877,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34004268066500304,0.608996684018427,-0.07726474103440108,-0.21522636146537377,-0.1760110035527253,0.26615459277667436,0.18251907946813647,0.21104411631404585,0.21541050150394137,1.068484389720212,-0.20138597548614176,-0.25612136453576867,-0.4051478113731289,0.3073482665704103,0.5644861463604458
4,0.23361617748651664,0.5202749886057041,0.058992297487684496,0.1523481476366199,-0.5179201432141025,0.37557524288896194,0.4699607263467587,-0.9767900475212131,-0.65174653797593,0.06318719768642733,-0.16026007276567836,-0.009681536843860486,-0.4260331219168423,0.4387761806575122,0.3886291972801815,0.03483823845958369,0.5668092132025924,0.23247999308865605,-0.42911582624748595,0.18805547320324423,-0.48433107637760403,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3403699434536593,0.6081743267600805,-0.07726474103440108,-0.21472321564894278,-0.17610226350009237,0.26615459277667436,0.18214358387867188,0.21225625431470763,0.21541050150394137,1.0663938021943224,-0.20085022004996106,-0.25612136453576867,-0.4041417648117234,0.3074891643407105,0.5644861463604458
5,0.22512187657172394,0.5341397925588963,0.08997857478187625,0.1523480154698802,-0.5181957708455764,0.3759234438326898,0.4708802737138667,-0.9782861269357065,-0.6517154910008743,0.06351255041308516,-0.15886854592069238,-0.00963649711357481,-0.4263670039870895,0.4382144224021806,0.38854006222795645,0.03502581294554464,0.5682163656373259,0.23264043365459325,-0.42951241559837333,0.1874727761061145,-0.48474835158126217,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34102173952782144,0.6091809195628516,-0.07726474103440108,-0.21571933182431086,-0.17683265550239305,0.26615459277667436,0.18179510722675965,0.2119201712647394,0.21541050150394137,1.0668358514858285,-0.20099817771678002,-0.25612136453576867,-0.4029754502994583,0.30816523916564986,0.5644861463604458
6,0.2459522818391496,0.5046522337869271,0.02414275445803208,0.1521351702653927,-0.5182646497466041,0.37589999646639993,0.47112548626027784,-0.9776777506017565,-0.6514131369051476,0.06348206073277007,-0.15857403926324493,-0.009453229314969667,-0.4261517119149725,0.4375601681603746,0.3887535713002524,0.036121046849513165,0.5676818832692706,0.23087825099536466,-0.4297700637681635,0.18986439674132902,-0.48713696564325737,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34144832598127955,0.6114978539717913,-0.07726474103440108,-0.2149695749698052,-0.1768192799940304,0.26615459277667436,0.18330622902905788,0.21056926234147344,0.21541050150394137,1.0688044620813524,-0.20081892270092655,-0.25612136453576867,-0.40296635629757305,0.3077994006492012,0.5644861463604458
7,0.244648826683876,0.5067473729852381,0.03675150162321388,0.15184281810641148,-0.5181180590303474,0.3759786109123822,0.470961439298939,-0.9774426120187142,-0.6517770863346194,0.06392073844291035,-0.15937335987396195,-0.00932089467718696,-0.42604140064173135,0.43724736283368176,0.3886345316288254,0.03667897409538569,0.5684465781873392,0.23088106167733108,-0.4286800052641799,0.18931263142597274,-0.487152908400374,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34193140042140874,0.6121922526540348,-0.07726474103440108,-0.21436991120416102,-0.17787138626057994,0.26615459277667436,0.18340149720912016,0.20965033263672664,0.21541050150394137,1.0685567714837567,-0.20129771619945608,-0.25612136453576867,-0.4035596336563717,0.3084434137284758,0.5644861463604458
8,0.2276932058342107,0.5242861970037596,0.0372771203388623,0.15173057214556163,-0.5192177974724136,0.3759146204109845,0.4711943632385514,-0.9780009940139256,-0.6514966308970841,0.06364946326362768,-0.16048729331926773,-0.009301010861231333,-0.4239969177838443,0.43778443517310484,0.38882285608577644,0.037413718610030046,0.5675177446352849,0.22988551190863626,-0.42913102890240845,0.18617946250737707,-0.489966821191155,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34158631959035995,0.6125748794717943,-0.07726474103440108,-0.21430707986365588,-0.17874737336882163,0.26615459277667436,0.18285098248190348,0.20902735056540891,0.21541050150394137,1.0669577077480281,-0.20107123982769368,-0.25612136453576867,-0.40187938877792784,0.30751236585116437,0.5644861463604458
9,0.23963695207946473,0.5113230604327885,0.028840961397386993,0.1520603938570951,-0.5186734599055592,0.3760293129527581,0.4714512299740245,-0.9775473441319051,-0.6515556570411425,0.06368754376140646,-0.1615620114374418,-0.009643745006758363,-0.4239134653628968,0.4383790129050979,0.3894475241758713,0.0377915122252978,0.5679140668098684,0.22953362565342417,-0.4282190477737506,0.18555680607095973,-0.48996820526514134,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3421929736315281,0.6135612844535646,-0.07726474103440108,-0.21484722629136357,-0.1791309232017283,0.26615459277667436,0.18323359252670302,0.20980414473285408,0.21541050150394137,1.0674938833946177,-0.20140456415718075,-0.25612136453576867,-0.40244407727942494,0.30803632066589487,0.5644861463604458
10,0.2390895439939405,0.5130891473919496,0.04480363652128538,0.15213514288147156,-0.5191899598661929,0.37621835769063083,0.47072922516884547,-0.9760562802974989,-0.6515626852999108,0.06363150895083368,-0.1601745244508183,-0.00913853985684997,-0.4234620536987526,0.4398306527744836,0.389424955159743,0.03795974594143643,0.5671781429903129,0.22905113128033866,-0.42853683885369553,0.18772143496079136,-0.4897579010148153,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3420569947564447,0.6143138563634905,-0.07726474103440108,-0.21473427285258806,-0.1799979274695239,0.26615459277667436,0.18445011724988097,0.2070803958265208,0.21541050150394137,1.066528068965411,-0.20055955068266346,-0.25612136453576867,-0.40120391710889847,0.3067346445803295,0.5644861463604458
