step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.6927579641342163,0.6784073710441589,0.5090872049331665,0.5074207782745361,0.5074770450592041,0.05076047405600548,0.004367559216916561,0.4743863642215729,0.24805264174938202,0.07418163865804672,1.0,0.0,0.0625,0.0625,0.5090050101280212,0.00919362436980009,0.4948256015777588,0.5344507098197937,0.0,0.0,0.5079787373542786,0.012573758140206337,0.49388203024864197,0.5392787456512451,0.0,0.0
2,0.6920344829559326,0.6805896759033203,0.5082365274429321,0.506321132183075,0.506379246711731,0.054146815091371536,0.004883354529738426,0.4262479245662689,0.25706747174263,0.024806080386042595,1.0,0.03125,0.0625,0.041666666666666664,0.5078008770942688,0.011997911147773266,0.4940599203109741,0.538632869720459,0.0,0.0,0.5073369741439819,0.015039365738630295,0.4907762110233307,0.5433443188667297,0.0,0.0
3,0.6914410591125488,0.6828327178955078,0.5077734589576721,0.5051983594894409,0.5052536725997925,0.04586543142795563,0.005638992413878441,0.5053338408470154,0.2522238790988922,0.032315198332071304,1.0,0.010416666977107525,0.0729166641831398,0.041666666666666664,0.5080483555793762,0.0158705934882164,0.49056968092918396,0.5489752292633057,0.0,0.0,0.5074806213378906,0.01799556240439415,0.48696449398994446,0.5509647727012634,0.0,0.0
4,0.6904855966567993,0.6850040555000305,0.507310152053833,0.5040931701660156,0.5041718482971191,0.046287305653095245,0.006234902888536453,0.478019118309021,0.25862011313438416,0.03804941847920418,1.0,0.02083333395421505,0.0625,0.010416666666666666,0.5075356364250183,0.019090848043560982,0.4866672158241272,0.5526681542396545,0.0,0.0,0.5060461163520813,0.02198362722992897,0.4827446937561035,0.5531679391860962,0.0,0.0
5,0.6902995109558105,0.6877574920654297,0.5063108205795288,0.5026991367340088,0.5027890801429749,0.05619484931230545,0.006783804856240749,0.42212462425231934,0.22202394902706146,0.08066362142562866,1.0,0.0,0.03125,0.03125,0.5066613554954529,0.02171262912452221,0.4824552834033966,0.5571908354759216,0.0,0.0,0.504329264163971,0.0240748543292284,0.4747072160243988,0.5583248734474182,0.0,0.0
6,0.6898095011711121,0.6906899213790894,0.5053629875183105,0.5012513399124146,0.5013464093208313,0.04749523103237152,0.00815894827246666,0.46127641201019287,0.2529955208301544,0.032315198332071304,1.0,0.010416666977107525,0.0625,0.0625,0.5045366883277893,0.026224300265312195,0.4702209532260895,0.563766598701477,0.0,0.0,0.502829372882843,0.02849707193672657,0.4668141305446625,0.5598402619361877,0.0,0.0
7,0.6888523101806641,0.6946656703948975,0.5044596791267395,0.49923819303512573,0.49938279390335083,0.05394826456904411,0.009038950316607952,0.394089937210083,0.2275727093219757,0.03720090165734291,0.9153366684913635,0.010416666977107525,0.0,0.0,0.5025544762611389,0.02861415222287178,0.46355628967285156,0.561782956123352,0.0,0.0,0.5011325478553772,0.03355429694056511,0.45421165227890015,0.5702535510063171,0.0,0.0
8,0.6885004043579102,0.698037326335907,0.503039538860321,0.4975441098213196,0.49766579270362854,0.055725883692502975,0.007309480104595423,0.4219246208667755,0.2406139373779297,0.07244294136762619,1.0,0.0,0.03125,0.020833333333333332,0.5011434555053711,0.031506866216659546,0.45615750551223755,0.5616816282272339,0.0,0.0,0.4983888864517212,0.035896193236112595,0.4495297372341156,0.5706151723861694,0.0,0.0
9,0.6883331537246704,0.6990922093391418,0.5023665428161621,0.4969616234302521,0.49721261858940125,0.0687301903963089,0.010843596421182156,0.4527920186519623,0.23625248670578003,0.08514592051506042,1.0,0.0,0.03125,0.010416666666666666,0.4988013803958893,0.03309592977166176,0.451951265335083,0.5672023296356201,0.0,0.0,0.49484607577323914,0.03957941755652428,0.44319817423820496,0.568722128868103,0.0,0.0
10,0.6872735023498535,0.7008398175239563,0.503009557723999,0.49618878960609436,0.4963475465774536,0.06455603241920471,0.010807533748447895,0.45339569449424744,0.25035399198532104,0.06882666051387787,1.0,0.0,0.0520833320915699,0.010416666666666666,0.4944394826889038,0.041969090700149536,0.43265488743782043,0.5826504230499268,0.0,0.0,0.4907505214214325,0.044209688901901245,0.42811819911003113,0.5749908089637756,0.0,0.0
