step,loss,score_mean,score_std
1,0.42870234308622224,0.36389887931045534,0.1551699319212004
2,0.37887907184303327,0.41018519611913234,0.1760612658845948
3,0.20719542034396132,0.565060090208578,0.1342486328488542
4,0.24536672558920689,0.5349041955062153,0.1704482868111404
5,0.23736618754572053,0.5245860136371083,0.1065257215588369
6,0.44087288469525265,0.3596572048974266,0.1755960987503688
7,0.3298641768711325,0.46334654543824294,0.20461487460086777
8,0.16872886953263644,0.6086383339883948,0.12475943282167545
9,0.35643090624925255,0.4272261544289498,0.16840732892435006
10,0.2768911816362138,0.49116026187917394,0.13406454722347036
11,0.22535968753279048,0.5268617799252746,0.03872870334352731
12,0.2756826141036464,0.4862778613563926,0.10849967118276074
13,0.292060874232849,0.48509780305332495,0.16412374022181345
14,0.2981326363257665,0.4603459424622286,0.08310315762303391
15,0.2132871974979659,0.541563009660182,0.05588133498246679
16,0.25458536865220166,0.49961116024311586,0.06477945626158305
17,0.2364254373537935,0.5206982141346732,0.08182441968341378
18,0.23135681842294864,0.5358674465689264,0.126244966235716
19,0.322971861997649,0.4501655390320042,0.14371474472946172
20,0.31024040944568776,0.4526090092425395,0.10297336060114774
21,0.23336962515769588,0.5202079363240155,0.05629565724463612
22,0.23602475275755985,0.5247188089698358,0.10066053072845003
23,0.267281660293724,0.5025715843048074,0.14087807430532387
24,0.21584392634103608,0.539730470734116,0.06321302861152486
25,0.3264678751730907,0.44666437170627044,0.14243439879587416
26,0.22754740104744736,0.5350960848954236,0.10682579742474042
27,0.23730807332265844,0.5192796697820683,0.07884185230655832
28,0.23832080701908512,0.5275753826350951,0.1230275910722028
29,0.22695929601138382,0.5409045077603852,0.12724238776291844
30,0.21891021204704086,0.5413744002700651,0.09258926254328086
31,0.15381353561526961,0.6174578989418151,0.08645852582060762
32,0.2267617046134648,0.5566262159188509,0.17372792645337443
33,0.3557910786307686,0.42963812043444793,0.17458065564377487
34,0.16551168009795458,0.6284842399425081,0.16579421067205677
35,0.36037942243454596,0.43572075195256765,0.204861790038918
36,0.23954887521835705,0.5395386680120259,0.16590430133594083
37,0.21921350854366362,0.5502806891609784,0.13025379158148379
38,0.22348503640203726,0.5650803673458316,0.18528343087682025
39,0.2095370519611746,0.5568790062378808,0.11480782664079817
40,0.21836202251880646,0.5523291534039134,0.13398819293173453
41,0.35892761709425675,0.4444755418988715,0.224321630487637
42,0.32930572354951654,0.4564682539271309,0.18406239401300972
43,0.23472214867215885,0.5531999281581781,0.1873281738261061
44,0.26400728883902636,0.5094077712650589,0.1527303316565406
45,0.22725325481635783,0.5376183635958081,0.11600205756706507
46,0.1439996655821803,0.6243418036092542,0.053671083561185856
47,0.12201757089611026,0.6533705910809597,0.04319286851512151
48,0.2078583466950656,0.5494460825198177,0.0697102169426052
49,0.15249622523113462,0.615336227876228,0.06730533262039233
50,0.15556581868483985,0.6237046134793964,0.11818460527376337
51,0.20403664881530004,0.5672697669443383,0.129542249551756
52,0.1705613092941917,0.5968813974399303,0.0897591317625657
53,0.1769513196014127,0.6150355831786756,0.16956921170950107
54,0.2542418120665823,0.5211712568687038,0.15800268058525863
55,0.19756930610643808,0.6022182117695101,0.19834050331730288
56,0.14535134568517616,0.6257369210515289,0.07265324195476715
57,0.14739913814501812,0.6274474242293538,0.0927562212418887
58,0.2033852121027102,0.5687164749252651,0.13183221649204724
59,0.12463262753182194,0.6589594242156631,0.09123570203129157
60,0.1459330285412963,0.6354694310382218,0.11423875428081148
61,0.2901454235340727,0.5108660561114282,0.22559567540232164
62,0.10709942557944127,0.6801024668894229,0.06902893593492454
63,0.17601287040236516,0.6120680909331002,0.15975513921651696
64,0.1579619722464071,0.6290402016561811,0.1426562316097069
65,0.11251871448819976,0.673027790318905,0.07488583775975613
66,0.11047993095776935,0.6781426690784056,0.08299270811509013
67,0.17331921929716546,0.6110555772247326,0.14846365030706588
68,0.22657655553001133,0.5678249022822729,0.19950248286490294
69,0.19461482780908732,0.6311480692244229,0.2419981015769155
70,0.2059177432366873,0.584778103729521,0.18305332638374167
71,0.10531454451037581,0.684372049805822,0.07545556090780753
72,0.2284438024081789,0.5569898184403029,0.17940396225018831
73,0.1392740932202866,0.6471635478545255,0.12157520880901262
74,0.18934424183908916,0.6073368589599597,0.1875097322727618
75,0.17382913530756122,0.6050563292383141,0.13359877397145312
76,0.20071890584649177,0.5701834506817819,0.12639873408935104
77,0.23286364422436573,0.5474711998442631,0.16757484741702297
78,0.16457423010919037,0.634260416858507,0.17552432195354423
79,0.10010886900628893,0.7022745021238266,0.10709060192557725
80,0.11629952256877546,0.6820806472998151,0.1233969524087629
81,0.14026899516196006,0.6408970740146624,0.10636768236169392
82,0.29757934912263145,0.5263030126613544,0.27053745324169415
83,0.22881201023380218,0.5396897896310907,0.13010196267829574
84,0.12716244311702385,0.6571735500263481,0.09814513967919881
85,0.140519434715277,0.6555865446336455,0.1479824537518033
86,0.15441206173848077,0.6440550938710735,0.1664790848538115
87,0.2061038263227318,0.5800170557798103,0.17238953881537206
88,0.16184503289553925,0.6294719812947436,0.1566972252841174
89,0.08143307391613294,0.7244170616553511,0.07407508414369503
90,0.13976712363533803,0.6303857662083112,0.05614661123957548
91,0.1395682582961987,0.6486396438038026,0.12694155556573355
92,0.11264745206818869,0.6836894772640949,0.11222791714798354
93,0.2140494973376694,0.5779527467904011,0.1895405328945541
94,0.13198627425475412,0.6721473951125055,0.15652138465789545
95,0.1784140012977969,0.6205469926740563,0.18555165509234414
96,0.138612720971516,0.6619618273048926,0.15602216160238733
97,0.10198869440045832,0.710884170139428,0.13564929570948672
98,0.138885223412483,0.6639662356566004,0.16114134408205985
99,0.10965895060144976,0.6855977062723306,0.10397186354917869
100,0.18897271932441503,0.6107791739953685,0.19359718003540302
