step,loss_d,loss_g,score_real,score_fake,grad_norm_d,grad_norm_g
1,0.5049951076507568,0.06643299758434296,0.479204386472702,0.48347747325897217,0.07999180257320404,0.015292908065021038
2,0.6346269249916077,0.2697031497955322,0.7513172626495361,0.7564346790313721,0.8244017362594604,0.005746273789554834
3,0.4926595091819763,0.35809800028800964,0.49005115032196045,0.4822593927383423,0.13524843752384186,0.057190630584955215
4,0.48312777280807495,0.0510656014084816,0.4417527914047241,0.412166953086853,0.2353282868862152,0.058040469884872437
5,0.6636494994163513,0.2928134799003601,0.8147659301757812,0.7924537658691406,0.9903962016105652,0.027586208656430244
6,0.490373432636261,0.28990980982780457,0.4846600294113159,0.4734920859336853,0.11162867397069931,0.03701724484562874
7,0.48786211013793945,0.24145901203155518,0.47809934616088867,0.464087575674057,0.09829486906528473,0.11499056220054626
8,0.4798690974712372,0.2894681394100189,0.5592455863952637,0.5336835980415344,0.14029265940189362,0.09055045247077942
9,0.4280625581741333,0.19664862751960754,0.5556081533432007,0.4751119017601013,0.24001199007034302,0.22772155702114105
10,0.5247758030891418,0.49913185834884644,0.671838104724884,0.6305173635482788,0.9865662455558777,0.04345153644680977
11,0.5173722505569458,0.2068789303302765,0.35649001598358154,0.30405953526496887,0.5119754076004028,0.3763383626937866
12,0.579309344291687,0.34661340713500977,0.676307737827301,0.6744175553321838,0.8798630237579346,0.08580778539180756
13,0.48998939990997314,0.3091604709625244,0.47228336334228516,0.4500803053379059,0.19057410955429077,0.15049657225608826
14,0.5213836431503296,0.29613223671913147,0.4747850298881531,0.49235498905181885,0.2049444019794464,0.10795986652374268
15,0.5064641833305359,0.3394453823566437,0.47264549136161804,0.4768480360507965,0.14313216507434845,0.1179477646946907
16,0.4963687062263489,0.33889180421829224,0.4438292682170868,0.4322962462902069,0.1209690049290657,0.21990454196929932
17,0.5078014731407166,0.20257724821567535,0.4460914433002472,0.4476086497306824,0.25112709403038025,0.07213974744081497
18,0.5297880172729492,0.2530238628387451,0.548297643661499,0.5692886114120483,0.29541927576065063,0.02991696447134018
19,0.5021265745162964,0.2817094027996063,0.49863025546073914,0.5004749298095703,0.04337732493877411,0.012240373529493809
20,0.4931357204914093,0.25860416889190674,0.4788739085197449,0.47029390931129456,0.17215076088905334,0.02686203271150589
21,0.4938783645629883,0.23241354525089264,0.5023276209831238,0.4958721399307251,0.05936012417078018,0.05068458989262581
22,0.5272170305252075,0.29790210723876953,0.5174217224121094,0.5392258167266846,0.2920506000518799,0.020147377625107765
23,0.5039375424385071,0.3121354877948761,0.4581596851348877,0.4582858383655548,0.08412772417068481,0.025993842631578445
24,0.5183486938476562,0.3227531909942627,0.44136837124824524,0.4535984396934509,0.2058422714471817,0.023083923384547234
25,0.5047718286514282,0.319424033164978,0.4357771873474121,0.43171975016593933,0.06874531507492065,0.04218922555446625
26,0.5011007785797119,0.3099040687084198,0.4467475414276123,0.4415760338306427,0.06854746490716934,0.030139124020934105
27,0.5038894414901733,0.29611778259277344,0.4498491883277893,0.44850635528564453,0.0551614910364151,0.021300939843058586
28,0.5028874278068542,0.28830763697624207,0.4589635133743286,0.4583558142185211,0.04634828120470047,0.02144385315477848
29,0.5036935210227966,0.2883271872997284,0.46460214257240295,0.46573513746261597,0.04632370173931122,0.016352210193872452
30,0.5084167718887329,0.2745878994464874,0.45969414710998535,0.46514084935188293,0.07767146080732346,0.009584818035364151
31,0.4996163845062256,0.269349068403244,0.4787932336330414,0.4773937165737152,0.025856757536530495,0.006306839175522327
32,0.499828577041626,0.2607487738132477,0.48305368423461914,0.4822324812412262,0.022489387542009354,0.008298584260046482
33,0.5009338855743408,0.24924075603485107,0.49104762077331543,0.4918181300163269,0.023994216695427895,0.007103485055267811
34,0.5008853673934937,0.23739919066429138,0.5019080638885498,0.5027726888656616,0.02906828001141548,0.006595065351575613
35,0.49995264410972595,0.22112786769866943,0.5138769149780273,0.5134498476982117,0.042658302932977676,0.018696891143918037
36,0.5014898777008057,0.23015548288822174,0.5336351990699768,0.5328711867332458,0.051877427846193314,0.011274554766714573
37,0.4999895393848419,0.24842333793640137,0.5236883759498596,0.522567868232727,0.04849632829427719,0.003231348702684045
38,0.49990925192832947,0.2733864188194275,0.5018628239631653,0.5017609000205994,0.07559994608163834,0.0054931072518229485
39,0.49756211042404175,0.28795376420021057,0.480656236410141,0.47731176018714905,0.04469353333115578,0.011439823545515537
40,0.4959830045700073,0.2609035074710846,0.4704982340335846,0.46428778767585754,0.06689218431711197,0.0022483901120722294
41,0.5027167797088623,0.25391045212745667,0.48695480823516846,0.489382266998291,0.06049982085824013,0.002661505015566945
42,0.4996544122695923,0.2528446614742279,0.49649444222450256,0.49611973762512207,0.025761138647794724,0.04277879372239113
43,0.505611777305603,0.25608593225479126,0.4988834857940674,0.5043301582336426,0.1423352211713791,0.006402533035725355
44,0.4980300962924957,0.24516648054122925,0.49614956974983215,0.4941270053386688,0.025571098551154137,0.002256835578009486
45,0.49988600611686707,0.2437008172273636,0.5050498247146606,0.504886269569397,0.006377547048032284,0.001543462392874062
46,0.499322772026062,0.239329993724823,0.5070531964302063,0.5062859058380127,0.017274044454097748,0.004702898673713207
47,0.4998009204864502,0.24188168346881866,0.5118330717086792,0.5113599896430969,0.0138039980083704,0.004293160978704691
48,0.49863725900650024,0.24541588127613068,0.5099804401397705,0.5084396004676819,0.019870519638061523,0.008666489273309708
49,0.4949416220188141,0.21956461668014526,0.5112085938453674,0.5059775114059448,0.05549975484609604,0.03146842122077942
50,0.4898442327976227,0.23029778897762299,0.5525569915771484,0.5377099514007568,0.06149782985448837,0.059700146317481995
51,0.4958540201187134,0.2666456997394562,0.5420641899108887,0.5334977507591248,0.09186666458845139,0.0
52,0.5005364418029785,0.26847538352012634,0.4836225211620331,0.4836225211620331,0.01635986566543579,0.0
53,0.4963340759277344,0.21767958998680115,0.48605841398239136,0.4818539321422577,0.09493254125118256,0.022855842486023903
54,0.4888456463813782,0.10633401572704315,0.5517944097518921,0.534238874912262,0.13221023976802826,0.09954371303319931
55,0.5977704524993896,0.2925565540790558,0.6649903059005737,0.6891905665397644,1.0807852745056152,0.0009199435007758439
56,0.5028825998306274,0.29715296626091003,0.45951464772224426,0.4590837359428406,0.040679607540369034,0.0014855772024020553
57,0.5035641193389893,0.33098912239074707,0.4553465247154236,0.4548800587654114,0.08506542444229126,0.008991661481559277
58,0.5095263719558716,0.3010956645011902,0.4263414442539215,0.4247364401817322,0.13026344776153564,0.004662771243602037
