step,disc_loss,disc_loss_real,disc_loss_fake,disc_grad_norm,gen_loss,gen_grad_norm,real_score_mean,real_score_std,real_score_min,real_score_max,fake_score_mean_disc,fake_score_std_disc,fake_score_min_disc,fake_score_max_disc,fake_score_mean_gen,fake_score_std_gen,fake_score_min_gen,fake_score_max_gen
1,0.6833382696782355,0.6933934848566167,0.6716184041035231,0.12032938908829169,0.6760201926719149,0.03488664542253854,0.5010571570374862,0.03450046619465946,0.44443306618172507,0.5662347865523948,0.48849400002684074,0.025083701450906125,0.4503111383702044,0.5391893745922122,0.5094863761563344,0.02945882023266557,0.46352259254534495,0.5562081385837626
2,0.7052880610661335,0.7342446023665472,0.6740254058538507,0.10348175395390062,0.712666179026757,0.06767018965016935,0.48241509190316784,0.04796685902621666,0.3638626773252339,0.563756130486504,0.4891028967228277,0.03489984933304006,0.44801100046494763,0.5691131304378221,0.4910076724654764,0.025854555347230586,0.4460268473210479,0.5461056411833087
3,0.717418530730876,0.7395550960240111,0.6750968650876079,0.1162210049429612,0.7226558818206579,0.05353935219332555,0.47931184153211825,0.04191247597825571,0.3631256995954065,0.5381535138329196,0.4904698310908171,0.020501668897347076,0.4647782597733456,0.5400251702963642,0.4866452862747167,0.03366918260169204,0.41564296561202024,0.5403761632696769
4,0.6915565571262006,0.6951474759656742,0.6758359013775681,0.12149314594565291,0.7205438786221778,0.032594614784247466,0.5000540891848758,0.03205486403539378,0.4177396697753681,0.550703323511136,0.49073161756421363,0.023470380869801168,0.4331372155494112,0.5394991304033221,0.4868923940294345,0.019675730807847586,0.44440535910620393,0.5137006440558657
5,0.7071282060924728,0.7472329319254134,0.6845256364017518,0.12825691127973476,0.7120405461842727,0.04215370223932506,0.47589000565866757,0.045542196277668354,0.3840471085949452,0.5574692828004978,0.4946550653186376,0.030922490432802666,0.4468268462522088,0.5879922343529853,0.49149030172191677,0.029277929708430954,0.4492556001766834,0.5625503268534382
6,0.6979034657619572,0.6911114660506021,0.6549789212684866,0.13656717374195854,0.7275888756203731,0.0719526573105926,0.5026160689435942,0.04001515853166472,0.43875024911445976,0.5622722493692842,0.47996265537051486,0.02490180675717507,0.41848463250449935,0.5201709736061229,0.4844274872782315,0.03665762356944178,0.4284089314795506,0.5650077406699522
7,0.6885491349629619,0.7159807505734473,0.663241963432059,0.12416700821383861,0.7458047245690862,0.05348105936015891,0.4898980024204506,0.034607941190106246,0.4444962910851239,0.571495968491949,0.48314653700477733,0.0409754925654882,0.4100291174288781,0.5750475852484475,0.4746547419212708,0.017059390853959137,0.4449303820134437,0.5182167920904039
8,0.6935924345601111,0.7289789323042617,0.6492246821889652,0.11167673753500622,0.7259247070969563,0.06768663461307069,0.48326125630429173,0.028673688440534063,0.42203181831847025,0.5397210251247442,0.47694240926593473,0.025193844892772307,0.43006361198425214,0.5126140670461556,0.4843817191734603,0.021981243078799558,0.4438690868854573,0.5172123297599094
9,0.6868572081606104,0.7037055449632812,0.667679457869153,0.12917930120728938,0.7252066325149163,0.03474701357608928,0.4964629380219162,0.041211866507335326,0.4407820880459238,0.5557776353335339,0.4862794524790438,0.028603225695995087,0.4403285157215041,0.5397212805582494,0.48481133919920766,0.024296135071559786,0.4513333431096679,0.5482384241419668
10,0.6719448942452679,0.6744780840454911,0.65380854693751,0.1053170712835516,0.7286784423104508,0.052177744396672734,0.5106856455174267,0.035381904290437464,0.42778855498718815,0.5666321273999376,0.47946914538972907,0.02191883647968226,0.43466992257529524,0.5351449634432912,0.483179684641699,0.02542224483706109,0.45278584883998046,0.5631543149724424
11,0.6767636038138128,0.716469703070822,0.6563230789277652,0.08960806304995206,0.7137689893184767,0.0492797456876695,0.49013801462389256,0.04099142144382432,0.4193866121657897,0.5943462374204911,0.4801278059182775,0.03427346200837458,0.40482942120987625,0.5468054754448735,0.4908038778590969,0.03185554332392622,0.45193550487251977,0.5615623059687836
12,0.6915807295729877,0.7269823888083178,0.6481224824058853,0.10352679041002605,0.7311569091533374,0.04892172302233482,0.48513911778586216,0.041977534312092626,0.43066599980852277,0.5517567907843769,0.47662634618350536,0.01874401398133103,0.45480464312463553,0.5283784562810421,0.482012087062314,0.02524946977285349,0.4301147062942265,0.5255608354325103
13,0.6763906731552293,0.6704332141807419,0.6409620085891858,0.12057696171474055,0.7510189173796691,0.038372347514109305,0.513550305461864,0.04704638090221062,0.4327818828634079,0.6408921440799977,0.4729597495463238,0.01638374824228985,0.4425075646165943,0.5026855289191373,0.4727890085261829,0.028986208793412915,0.4032323403140704,0.5297807012710325
14,0.6830354857641264,0.7115610983411612,0.6737995345700687,0.09199045333652868,0.7296900998780002,0.05647156319186938,0.49214201347113706,0.035363880334257906,0.4454038639759044,0.5427027273339614,0.4895079760551525,0.027020636328855013,0.4382406566186141,0.5386344550929454,0.4824005082119137,0.01829307645677014,0.455236550134438,0.5208217090978322
