k1,k2,distance_km
Dnipro|Ukraine,Lyon|Frankreich,2959.5833
Riga|Lettland,Zagreb|Kroatien,1756.1155
Nabereschnyje Tschelny|Russland,Riga|Lettland,1964.8526000000002
Bukarest|Rumänien,Nabereschnyje Tschelny|Russland,2884.383
Nabereschnyje Tschelny|Russland,Zagreb|Kroatien,3428.7996000000003
Sevilla|Spanien,Vilnius|Litauen,3821.1071
Valencia|Spanien,Vilnius|Litauen,3254.2324
Pensa|Russland,Valencia|Spanien,4634.004599999999
Pensa|Russland,Sevilla|Spanien,5206.374599999999
Sevilla|Spanien,Valencia|Spanien,654.8975
Pensa|Russland,Vilnius|Litauen,1541.4151000000002
Homel|Belarus,Woronesch|Russland,731.3629
Rjasan|Russland,Woronesch|Russland,389.4169
Malaga|Spanien,Rjasan|Russland,4810.6267
Homel|Belarus,Malaga|Spanien,4217.6022
Homel|Belarus,Rjasan|Russland,774.5501999999999
Malaga|Spanien,Woronesch|Russland,4951.170099999999
Dresden|Deutschland,Machatschkala|Russland,3263.2766
Dresden|Deutschland,Krasnodar|Russland,2687.3727999999996
Machatschkala|Russland,Paris|Frankreich,4236.1051
Krasnodar|Russland,Machatschkala|Russland,861.0376
Dresden|Deutschland,Paris|Frankreich,1038.5511999999999
Moskau|Russland,Rjasan|Russland,197.0892
Hamburg|Deutschland,Palermo|Italien,2604.5759
Palermo|Italien,Rjasan|Russland,4186.8145
Hamburg|Deutschland,Rjasan|Russland,2292.9035
Moskau|Russland,Palermo|Italien,3955.3227
Istanbul|Türkei,Lipezk|Russland,2343.9461
Istanbul|Türkei,Pensa|Russland,2814.5348
Orenburg|Russland,Pensa|Russland,818.6364
Lipezk|Russland,Orenburg|Russland,1241.5468999999998
Lipezk|Russland,Pensa|Russland,424.004
Istanbul|Türkei,Orenburg|Russland,3530.3008999999997
Athen|Griechenland,Leipzig|Deutschland,2235.889
Kiew|Ukraine,Leipzig|Deutschland,1497.1681999999998
Amsterdam|Niederlande,Kiew|Ukraine,1966.394
Amsterdam|Niederlande,Athen|Griechenland,2811.0359
Amsterdam|Niederlande,Leipzig|Deutschland,633.4446999999999
Dresden|Deutschland,Orenburg|Russland,3322.349
Orenburg|Russland,Uljanowsk|Russland,679.5229
Saratow|Russland,Uljanowsk|Russland,462.7719
Dresden|Deutschland,Saratow|Russland,2713.1958
Dresden|Deutschland,Uljanowsk|Russland,2741.7727
Orenburg|Russland,Saratow|Russland,703.3754
Bremen|Deutschland,Saragossa|Spanien,1853.4465
Hannover|Deutschland,Saragossa|Spanien,1825.9598
Hannover|Deutschland,Perm|Russland,3583.5199
Bremen|Deutschland,Perm|Russland,3686.3791
Bremen|Deutschland,Hannover|Deutschland,124.0304
