step,loss,score_mean,score_std
1,0.21727110390743232,0.5419727965494076,0.08649962441498206
2,0.22607694071757728,0.5467524699191901,0.14367886907718755
3,0.1754303275176045,0.6033858638410563,0.1346386077316968
4,0.38097964649878,0.3905760822817821,0.09788838231750707
5,0.34285432319677167,0.4200444215355609,0.08065885287805577
6,0.3219344442092409,0.4560101194120493,0.1612744689933359
7,0.24502490850763792,0.5153618188548859,0.10075089145520465
8,0.22853079995342407,0.5232822236760246,0.03565055285236105
9,0.2422824166278287,0.5158253811590079,0.08864172460129147
10,0.3015765099262485,0.4623688019051222,0.11193393168691662
