step,loss,score_mean,score_std,w_l0_q0_RX,w_l0_q1_RX,w_l0_q2_RX,w_l0_q3_RX,w_l0_q4_RX,w_l0_q5_RX,w_l0_q0_RY,w_l0_q1_RY,w_l0_q2_RY,w_l0_q3_RY,w_l0_q4_RY,w_l0_q5_RY,w_l1_q0_RX,w_l1_q1_RX,w_l1_q2_RX,w_l1_q3_RX,w_l1_q4_RX,w_l1_q5_RX,w_l1_q0_RY,w_l1_q1_RY,w_l1_q2_RY,w_l1_q3_RY,w_l1_q4_RY,w_l1_q5_RY
1,0.24724351392108374,0.5044944408847734,0.041445808644950906,0.15262742579814575,-0.5203108097940613,0.3750995077638531,0.470310822283968,-0.9743816932004961,-0.6518949762960418,0.0648286216074489,-0.15693184275526403,-0.0079911660698669,-0.4267219439250109,0.43949245563142114,0.3908084665969393,0.03301534878060802,0.5645137224941714,0.2333809690645392,-0.42887027328961297,0.18339913880761485,-0.4798796540433706,0.43922515065363626,-0.024385486555428926,-0.09270762572025705,-0.3403587336345498,0.6108949165941031,-0.07734537819693127
2,0.24840182138305458,0.5024868436902138,0.029706580586306344,0.15354863075541153,-0.5205882805905474,0.37690044860921523,0.46992633974677334,-0.9738918812819095,-0.6520633086757002,0.06559641400005403,-0.15572503117539996,-0.007392444538278493,-0.42848308870068297,0.4389229009816265,0.3943051889829029,0.03301534878060802,0.5666112065379671,0.23475647180449688,-0.42999110331790613,0.18199842602141492,-0.4796608808187551,0.43922515065363626,-0.02583758484330151,-0.09179928557663514,-0.34133328602296603,0.6106569143232692,-0.07810600039514895
3,0.2457511452290602,0.50606101471363,0.0421357839500164,0.15407775415125352,-0.5215591229443227,0.3790601432517737,0.46962405850750116,-0.9734359599276156,-0.65373048881038,0.06634735149594093,-0.15393279420049183,-0.005877167767531878,-0.42801715804390916,0.43938937729422634,0.3950718547811959,0.03301534878060802,0.5694859698130462,0.23406971325096487,-0.43058500878301226,0.1811055096062515,-0.4812290554927009,0.43922515065363626,-0.02741036903253239,-0.09010458076176571,-0.34184131668651124,0.6088293741632717,-0.07778652490597907
4,0.23882212407372566,0.5122179587090252,0.029846348295185815,0.15357745032680692,-0.5212799740529861,0.38038948238303233,0.4704838330499627,-0.9725221708137213,-0.6543983421523244,0.06788414365779762,-0.15481916809466312,-0.001820697094418438,-0.42756909207376476,0.4401937502094595,0.39801994489820075,0.03301534878060802,0.5711113771096449,0.23551490112151124,-0.42973670266245645,0.1800537795835536,-0.48185748554691976,0.43922515065363626,-0.027134432837968372,-0.08964325364197541,-0.3386025139521659,0.6079064366925454,-0.07869232898948762
5,0.24941485804079322,0.5010166434495795,0.02074772700524339,0.15401249331190647,-0.5206161443245394,0.38067000958623465,0.4705288103076709,-0.972009234325335,-0.6552126049512018,0.0719622513687016,-0.15492421771446913,0.0007452605325583557,-0.4277112998275142,0.4403097193968192,0.40160689592534515,0.03301534878060802,0.5709556414784618,0.2358067804703821,-0.42963358158020953,0.17833786123560783,-0.48242166539781794,0.43922515065363626,-0.027295210282292943,-0.08918103233846579,-0.33928460090769513,0.6078131988503239,-0.07821012528271017
6,0.24005020942287886,0.510534717765879,0.021770327292012632,0.15369329136723484,-0.5202007134988315,0.38235305115631624,0.47032431421704635,-0.9705946500501975,-0.655677117027435,0.07166676293137077,-0.15371980381142564,0.0018680715728063245,-0.42727685693518175,0.44061366076016084,0.40517767608382765,0.03301534878060802,0.5732472492700003,0.2374518691657537,-0.42984296832462215,0.17730602738843942,-0.4828965579025044,0.43922515065363626,-0.02902611340082624,-0.08997395776337705,-0.33878715413508015,0.6075593929499025,-0.07886756981775953
7,0.24219288875044864,0.5087246910975654,0.029007927458867978,0.15462759556057232,-0.5199098966510453,0.3828653571345344,0.46970593936823685,-0.9694217359053332,-0.6564824000902144,0.07286207448785192,-0.15352249153830774,0.002414567746043414,-0.42589013524675445,0.4402186317132065,0.4066471331030191,0.03301534878060802,0.573477350892639,0.23634681445859823,-0.4308159104140661,0.1767291185860214,-0.4842597848283797,0.43922515065363626,-0.02957383446728904,-0.0891456609570379,-0.33799513508418516,0.6072646542255707,-0.07844670018739153
8,0.24201469833287953,0.5091748680926225,0.03324738279924725,0.15477442314525863,-0.5201127816006712,0.3832212755060254,0.4701419139231339,-0.9683473641410824,-0.656413286767967,0.07249302793593616,-0.15216608922674968,0.002427124250136985,-0.4264082591795132,0.4402293831380408,0.4114447264925855,0.03301534878060802,0.5738023441715988,0.23737243581914264,-0.431204054212481,0.17557583912577546,-0.4830668392838482,0.43922515065363626,-0.03209571278880055,-0.09061903204665885,-0.33822817291271917,0.6074706184142151,-0.07877698619582187
9,0.25070031597097003,0.49974878616504215,0.021190546909450245,0.15566204285498772,-0.5199064196168199,0.3841158892273081,0.4693723306294912,-0.96803834495646,-0.6560281650482005,0.07271600810971468,-0.1515850815324121,0.004526875930094425,-0.4256957058011659,0.44065235717407697,0.4156475019705845,0.03301534878060802,0.5754618452359797,0.23743345499256072,-0.43141872744623955,0.17358437933175422,-0.4823469993621731,0.43922515065363626,-0.03152413155312691,-0.09069785568083412,-0.33923851064640276,0.6066659751893203,-0.07778694314115545
10,0.25324874318304,0.4969118171515697,0.012289170621046536,0.1562339119725433,-0.5201866969022726,0.38445889268282796,0.469225386770733,-0.9681055498804647,-0.6566257131216049,0.07303751806968091,-0.15140503345537057,0.005810990436646132,-0.4244867943686475,0.4402230909806883,0.41830574505024676,0.03301534878060802,0.5756139274814992,0.23795528012914033,-0.43172146288350466,0.17221286614828013,-0.4829441586190694,0.43922515065363626,-0.03258319033122073,-0.09173524839634735,-0.33601257326995737,0.6074708292375129,-0.0773655368297674
