step,disc_loss,disc_loss_real,disc_loss_fake,disc_grad_norm,gen_loss,gen_grad_norm,real_score_mean,real_score_std,real_score_min,real_score_max,fake_score_mean_disc,fake_score_std_disc,fake_score_min_disc,fake_score_max_disc,fake_score_mean_gen,fake_score_std_gen,fake_score_min_gen,fake_score_max_gen
1,0.699430760553867,0.6210513140623082,0.7689212991292782,0.23549206370825976,nan,nan,0.5397433741502362,0.048290046544706734,0.398880290111874,0.6176406259472187,0.5338192230088252,0.04954747320117171,0.430686048639516,0.6310685283379962,0.5338192230088252,0.04954747320117171,0.430686048639516,0.6310685283379962
2,0.7195655493808978,0.6225290247794101,0.8241933531501898,0.2479513998201791,nan,nan,0.5400000401659919,0.060099216698010084,0.42475773587906407,0.6458889294760711,0.5607498539354506,0.023645475393227103,0.5106255421463834,0.6279658601827446,0.5607498539354506,0.023645475393227103,0.5106255421463834,0.6279658601827446
3,0.7056654675009784,0.5859324331006548,0.8067224244838639,0.28012017843718606,nan,nan,0.558322498344111,0.04347902293357427,0.4735648758144716,0.6280499955477604,0.5502576606136804,0.05761155518718006,0.37142937817946686,0.651834181596231,0.5502576606136804,0.05761155518718006,0.37142937817946686,0.651834181596231
4,0.7187342243080981,0.6343361079546326,0.7789816678488373,0.23442956200311055,nan,nan,0.5330428045388008,0.05368298467769636,0.42573117189001364,0.627063684569281,0.5401611568635516,0.030405063036070237,0.4531510711254206,0.5975790316722056,0.5401611568635516,0.030405063036070237,0.4531510711254206,0.5975790316722056
5,0.721066807745179,0.6508912600946797,0.7997727896918717,0.2848924773960319,nan,nan,0.5231652511557643,0.039747240579785334,0.43035517801327194,0.5877885653798138,0.5502466645000723,0.01729347606029624,0.4974696494263622,0.5793484045042918,0.5502466645000723,0.01729347606029624,0.4974696494263622,0.5793484045042918
6,0.7099617094010315,0.6291423357236776,0.7585272728456784,0.22579692180638639,nan,nan,0.5354262669631908,0.049704303090188036,0.4441856168694145,0.6140222083872848,0.5303954197732194,0.03588464055109723,0.41434214070520176,0.5663252340088161,0.5303954197732194,0.03588464055109723,0.41434214070520176,0.5663252340088161
7,0.705401951004279,0.6309198095458395,0.8004240086446132,0.25559243864400105,nan,nan,0.5343719814718749,0.047950747574639546,0.4170815416964028,0.6014231556061194,0.5501403377001652,0.025073250717776063,0.4973249525458563,0.6159696557216117,0.5501403377001652,0.025073250717776063,0.4973249525458563,0.6159696557216117
8,0.7098981081238946,0.6452705836521537,0.7907921951162988,0.2516188905943898,nan,nan,0.5272445800579999,0.053755358617708464,0.4568359072576892,0.629844594889703,0.5455463487754036,0.029748217246711898,0.4776849920677194,0.6050117129326718,0.5455463487754036,0.029748217246711898,0.4776849920677194,0.6050117129326718
9,0.6664468612271068,0.5119416369591964,0.7947982603326984,0.26591418495719643,nan,nan,0.6015113231001495,0.05152516888164808,0.5063568348335199,0.698506934064662,0.548085234568349,0.014676204849244798,0.5273931188202134,0.5833860567379601,0.548085234568349,0.014676204849244798,0.5273931188202134,0.5833860567379601
10,0.6859256189123109,0.5858493745481681,0.7734108298524449,0.27110863464601076,nan,nan,0.5624114345461759,0.07781891656773657,0.3977103189517771,0.6889593281669997,0.5374560961850076,0.03311205515033098,0.4329881465623269,0.5829422949473203,0.5374560961850076,0.03311205515033098,0.4329881465623269,0.5829422949473203
