run_dir,source,disc_lr,gen_lr,disc_steps_per_gen,grad_clip_norm,training_steps,score,final_loss_d,final_loss_g,final_score_real,final_score_fake_d,final_score_fake_g,mean_loss_d_last,mean_loss_g_last,std_loss_d_last,std_loss_g_last,max_grad_norm_d,max_grad_norm_g,notes
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201419\runs\cgan_comparable_20260323_201516_run_004,grid-search,0.0005,0.0005,1,1.0,400,-0.11373947769582288,0.6452898979187012,0.6745253205299377,0.5676388740539551,0.5090227723121643,0.5112853050231934,0.6887132778763772,0.7104918599128723,0.022645403062948367,0.0449218393245852,0.8320335149765015,2.2615466117858887,ok
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201419\runs\cgan_comparable_20260323_201444_run_002,grid-search,0.001,0.001,1,1.0,300,-0.16919653881154598,0.6446084976196289,0.8056163787841797,0.5033376216888428,0.4454469978809356,0.4557911455631256,0.6675665964682896,0.7390670289595922,0.024553816954436692,0.05442443880548057,0.8181343078613281,2.4192681312561035,ok
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201549_run_009,grid-search,0.002,0.002,1,0.5,500,-0.18121270723210947,0.6699339151382446,0.7239503860473633,0.534461498260498,0.483773410320282,0.4957639575004577,0.693208846449852,0.7558342063426972,0.0722047269822684,0.07778242478091565,2.0446906089782715,4.208670139312744,ok
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201510_run_007,grid-search,0.0005,0.0005,1,0.5,500,-0.21224345349440013,0.6266597509384155,0.7933634519577026,0.530423641204834,0.4521280527114868,0.4577265679836273,0.6562756419181823,0.7486265069246292,0.033630528278137214,0.06272207919398513,0.940304160118103,2.2224690914154053,ok
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\manual_hparam_eval_20260323\cgan_comparable_20260323_201534_manual_balanced_001,manual,0.001,0.001,1,1.0,300,-0.2272893543204637,0.7615301012992859,0.6984347701072693,0.4741146862506866,0.4971442818641662,0.5039547681808472,0.694625731309255,0.7826724906762441,0.09203589681115992,0.12454510867488526,1.1913129091262815,2.8568367958068848,balanced-discriminator
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201151\runs\cgan_comparable_20260323_201213_run_001,grid-search,0.0005,0.0005,1,1.0,500,-0.29773905716427074,0.6417844295501709,0.8262314200401306,0.5058995485305786,0.4368571043014526,0.4548843502998352,0.6315119230747223,0.8206196874380112,0.03333513378246025,0.051175510138595094,1.0483384132385254,2.537760734558105,ok
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201252_run_001,grid-search,0.0005,0.0005,1,1.0,500,-0.29773905716427074,0.6417844295501709,0.8262314200401306,0.5058995485305786,0.4368571043014526,0.4548843502998352,0.6315119230747223,0.8206196874380112,0.03333513378246025,0.051175510138595094,1.0483384132385254,2.537760734558105,ok
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201419\runs\cgan_comparable_20260323_201427_run_001,grid-search,0.0005,0.0005,1,1.0,300,-0.3159965161430713,0.6952983140945435,0.5365327596664429,0.6072009801864624,0.5848276615142822,0.5895268321037292,0.6876029908657074,0.6713058183590571,0.050561795615760456,0.19878729105588558,1.0483384132385254,2.537760734558105,balanced-discriminator
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201419\runs\cgan_comparable_20260323_201501_run_003,grid-search,0.002,0.002,1,1.0,300,-0.3730360307537006,0.6881165504455566,0.7560366988182068,0.4886117279529571,0.4720708727836609,0.4883133172988891,0.6474776799480121,0.8610828995704651,0.12131981213389906,0.13314810499897253,1.4398139715194702,1.6545299291610718,balanced-discriminator
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201151\runs\cgan_comparable_20260323_201231_run_002,grid-search,0.001,0.001,1,1.0,500,-0.4358458390822069,0.5872315168380737,0.7840163707733154,0.6145288944244385,0.4491934478282928,0.501899003982544,0.6697719800472259,0.8468910807371139,0.15209180696066407,0.13237284140333458,1.2093337774276731,3.7699599266052246,ok
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201317_run_002,grid-search,0.001,0.001,1,1.0,500,-0.4358458390822069,0.5872315168380737,0.7840163707733154,0.6145288944244385,0.4491934478282928,0.501899003982544,0.6697719800472259,0.8468910807371139,0.15209180696066407,0.13237284140333458,1.2093337774276731,3.7699599266052246,ok
C:\Users\cac\Documents\VsCode\BA\QuGAN_BA_Caner\src\logs\hparam_search_cgan_20260323_201151\runs\cgan_comparable_20260323_201251_run_003,grid-search,0.002,0.002,1,1.0,500,-0.49115035379484445,0.6432889699935913,0.7843436598777771,0.5146510004997253,0.4525192975997925,0.4585937857627868,0.6953739485144615,0.8239383652806282,0.11230096360093891,0.4712657609488936,1.609457015991211,9.8421630859375,ok
