step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g,real_mean,real_std,real_min,real_max,real_near_zero_frac,real_near_one_frac,real_clip_frac,fake_d_mean,fake_d_std,fake_d_min,fake_d_max,fake_d_near_zero_frac,fake_d_near_one_frac,fake_g_mean,fake_g_std,fake_g_min,fake_g_max,fake_g_near_zero_frac,fake_g_near_one_frac
1,0.6938542127609253,0.6411413550376892,0.531352698802948,0.5286563038825989,0.5268067121505737,0.08287983760237694,0.008965929970145226,0.4343319237232208,0.248891182243824,0.04276695940643549,1.0,0.010416666977107525,0.026041666977107525,0.026041666666666664,0.5067009925842285,0.007031906861811876,0.4924195259809494,0.5194141864776611,0.0,0.0,0.5044710040092468,0.007192885968834162,0.4879491329193115,0.5190732479095459,0.0,0.0
2,0.6919418573379517,0.653462290763855,0.5250701904296875,0.5217489004135132,0.5203888416290283,0.05738493613898754,0.011582219041883945,0.4292225241661072,0.25034428387880325,0.04068711958825588,1.0,0.015625000465661287,0.0572916679084301,0.046875,0.5043780207633972,0.007194743026047945,0.4903782904148102,0.5173457860946655,0.0,0.0,0.5012573599815369,0.007734988816082478,0.48751407861709595,0.5127562284469604,0.0,0.0
3,0.6912572681903839,0.6606788039207458,0.5204975008964539,0.5172148942947388,0.5166886448860168,0.060505956411361694,0.013558517210185528,0.4615664482116699,0.2540864795446396,0.03486133925616741,1.0,0.026041666977107525,0.05208333395421505,0.03645833333333333,0.5013258457183838,0.008140154648572206,0.485854908823967,0.5147569477558136,0.0,0.0,0.49753132462501526,0.00944149773567915,0.4824831783771515,0.5135064721107483,0.0,0.0
4,0.6901868581771851,0.6673165559768677,0.5182550847530365,0.5141323506832123,0.5132638812065125,0.0597925391048193,0.013002891093492508,0.4580003470182419,0.24806282669305801,0.04547683149576187,1.0,0.0052083334885537624,0.036458333022892475,0.026041666666666664,0.4980829060077667,0.008933424018323421,0.48363789916038513,0.51296266913414,0.0,0.0,0.49470189213752747,0.010490426793694496,0.47698697447776794,0.5147724747657776,0.0,0.0
5,0.685854971408844,0.6754116415977478,0.5191221535205841,0.5101880729198456,0.5092307925224304,0.08413881808519363,0.01910196803510189,0.3987258970737457,0.2400984838604927,0.043062349781394005,1.0,0.015625000465661287,0.036458333022892475,0.020833333333333332,0.494771346449852,0.010879529640078545,0.47697754204273224,0.512943834066391,0.0,0.0,0.4917565882205963,0.012378232553601265,0.4709436297416687,0.5149989724159241,0.0,0.0
6,0.6884648501873016,0.6822441220283508,0.5120387971401215,0.506394773721695,0.5057734251022339,0.06383492052555084,0.01910889707505703,0.45761458575725555,0.24638735502958298,0.037642261013388634,1.0,0.020833333488553762,0.036458333022892475,0.03125,0.490987628698349,0.012434758245944977,0.47138044238090515,0.5140101313591003,0.0,0.0,0.4864969253540039,0.01440848782658577,0.46334314346313477,0.5140886902809143,0.0,0.0
7,0.6882768273353577,0.6836894154548645,0.5104819536209106,0.5049278140068054,0.5051784515380859,0.07338517904281616,0.02424057573080063,0.4643605500459671,0.23861195147037506,0.04129976034164429,1.0,0.010416666977107525,0.04687500139698386,0.04166666666666667,0.4864655137062073,0.014257854782044888,0.46396563947200775,0.5138943791389465,0.0,0.0,0.4814527928829193,0.01592816598713398,0.4552339017391205,0.5121871829032898,0.0,0.0
8,0.6868402361869812,0.6880142688751221,0.5098726451396942,0.5027951896190643,0.5030068755149841,0.07025201618671417,0.02323450893163681,0.44723276793956757,0.22844435274600983,0.05328860133886337,0.9670166969299316,0.010416666977107525,0.02083333395421505,0.015625,0.48236335813999176,0.01590818865224719,0.45645971596241,0.5118448138237,0.0,0.0,0.4759279787540436,0.018086468800902367,0.4446924924850464,0.5094683766365051,0.0,0.0
9,0.6866785883903503,0.6897338032722473,0.5092088878154755,0.5019155144691467,0.5022362470626831,0.07221953570842743,0.028047828003764153,0.46111294627189636,0.2411881387233734,0.028546170331537724,0.9882900714874268,0.026041666977107525,0.03645833348855376,0.026041666666666668,0.476237028837204,0.0175514817237854,0.4483569711446762,0.5104479491710663,0.0,0.0,0.4697684049606323,0.020111119374632835,0.4343586564064026,0.5070481300354004,0.0,0.0
10,0.6830064654350281,0.6924796104431152,0.5121481716632843,0.500886857509613,0.5012047290802002,0.08362481743097305,0.03883962705731392,0.4113122373819351,0.2169928178191185,0.049283841624855995,0.9384526610374451,0.015625,0.010416666977107525,0.005208333333333333,0.4705379605293274,0.019787483848631382,0.43882597982883453,0.5072901844978333,0.0,0.0,0.46027231216430664,0.023643992841243744,0.42150285840034485,0.5051140189170837,0.0,0.0
11,0.6857215762138367,0.6955410838127136,0.5077126920223236,0.4992358982563019,0.4993990957736969,0.08287497609853745,0.027345648035407066,0.44975434243679047,0.24765002727508545,0.04257884994149208,1.0,0.010416666977107525,0.046875,0.03125,0.4618176072835922,0.022497238591313362,0.4242323338985443,0.5050848126411438,0.0,0.0,0.45832136273384094,0.023209232836961746,0.41595444083213806,0.5004376173019409,0.0,0.0
12,0.6841879189014435,0.6944081783294678,0.5092713534832001,0.4992445558309555,0.5005190968513489,0.08405532315373421,0.04813279211521149,0.42378562688827515,0.2132144272327423,0.03890804015100002,1.0,0.015625000465661287,0.015625000465661287,0.010416666666666666,0.4537156820297241,0.025243425741791725,0.4103069454431534,0.501687228679657,0.0,0.0,0.4464084804058075,0.025951731950044632,0.4075283706188202,0.495893269777298,0.0,0.0
13,0.6852447092533112,0.6966660618782043,0.5076818466186523,0.4987473040819168,0.4994584321975708,0.08219975233078003,0.04603158310055733,0.4549877643585205,0.23885757476091385,0.04446079023182392,1.0,0.010416666977107525,0.03645833348855376,0.026041666666666664,0.4457239359617233,0.02638227865099907,0.3956048786640167,0.4963185340166092,0.0,0.0,0.43609729409217834,0.0283786840736866,0.3823862671852112,0.4882216155529022,0.0,0.0
14,0.6832350194454193,0.6958141326904297,0.5091457962989807,0.4980870336294174,0.5002762675285339,0.10082338005304337,0.05670972168445587,0.4292714297771454,0.23236991465091705,0.05230558104813099,1.0,0.0052083334885537624,0.031249999534338713,0.026041666666666664,0.4362528622150421,0.028175991028547287,0.3863655775785446,0.48953959345817566,0.0,0.0,0.42411747574806213,0.032220661640167236,0.3520967364311218,0.4855788052082062,0.0,0.0
15,0.6813903152942657,0.7005740404129028,0.5107292830944061,0.49760080873966217,0.4975382089614868,0.08314428478479385,0.04619660973548889,0.41150884330272675,0.23121308535337448,0.03432508930563927,1.0,0.015625000465661287,0.031250000931322575,0.020833333333333332,0.42037706077098846,0.031866032630205154,0.36140067875385284,0.48266567289829254,0.0,0.0,0.4106728136539459,0.0321572870016098,0.34746089577674866,0.4714931547641754,0.0,0.0
16,0.6867951154708862,0.6971016526222229,0.5051853656768799,0.4975607842206955,0.4999416470527649,0.08196220174431801,0.062145378440618515,0.468241810798645,0.24219271540641785,0.032785819843411446,1.0,0.026041667442768812,0.04166666604578495,0.03645833333333333,0.4119618982076645,0.03221682459115982,0.3508785218000412,0.4753359705209732,0.0,0.0,0.3981533944606781,0.03467727079987526,0.33409228920936584,0.46943724155426025,0.0,0.0
17,0.6826871931552887,0.6989235281944275,0.5101597905158997,0.49825526773929596,0.4982377886772156,0.08537182584404945,0.0432589054107666,0.43237705528736115,0.24629702419042587,0.06223359890282154,1.0,0.010416666977107525,0.04166666604578495,0.04166666666666667,0.39456862211227417,0.03463040292263031,0.3309912830591202,0.4627118557691574,0.0,0.0,0.39387431740760803,0.03323143348097801,0.32265082001686096,0.4607442319393158,0.0,0.0
18,0.6843113601207733,0.6883323192596436,0.510620504617691,0.49999023973941803,0.505332350730896,0.08272232487797737,0.0973401889204979,0.47878795862197876,0.2653025984764099,0.049675630405545235,1.0,0.0052083334885537624,0.0677083320915699,0.041666666666666664,0.3930760771036148,0.03348245285451412,0.31511908769607544,0.4594244807958603,0.0,0.0,0.3655599057674408,0.03594658151268959,0.2983306646347046,0.44033318758010864,0.0,0.0
19,0.6827947795391083,0.6915266513824463,0.51421058177948,0.5019410252571106,0.5027530789375305,0.09182790666818619,0.06342879682779312,0.43771570920944214,0.24460499733686447,0.040810899809002876,1.0,0.02083333395421505,0.03645833348855376,0.026041666666666664,0.37011802196502686,0.034502215683460236,0.2897689938545227,0.44195450842380524,0.0,0.0,0.3554214537143707,0.03542468696832657,0.27516263723373413,0.4218398630619049,0.0,0.0
