step,loss_d,loss_g,score_real,score_fake_d,score_fake_g,grad_norm_d,grad_norm_g
1,1.3963003158569336,0.7341263294219971,0.479204386472702,0.48347747325897217,0.4799245595932007,0.16022196412086487,0.012195045128464699
2,1.385148525238037,0.7374945878982544,0.4814704954624176,0.4801363945007324,0.47831079363822937,0.12455759197473526,0.011984231881797314
3,1.387213110923767,0.7385419011116028,0.4790031909942627,0.4785536229610443,0.4778100550174713,0.14013530313968658,0.01161900907754898
4,1.3834030628204346,0.7393413782119751,0.4803350567817688,0.4780043959617615,0.47742825746536255,0.13016800582408905,0.012301739305257797
5,1.3791303634643555,0.7395627498626709,0.48191025853157043,0.47749263048171997,0.47732263803482056,0.17836737632751465,0.013902765698730946
6,1.3788856267929077,0.7383663654327393,0.48211297392845154,0.4775843620300293,0.47789400815963745,0.15987926721572876,0.01839725486934185
7,1.3754091262817383,0.7365058064460754,0.48468971252441406,0.4785388112068176,0.4787842631340027,0.19865962862968445,0.025557784363627434
8,1.3793861865997314,0.7349717617034912,0.48364296555519104,0.47949397563934326,0.4795191287994385,0.20514704287052155,0.018663832917809486
9,1.3704330921173096,0.7348742485046387,0.4883540868759155,0.47987762093544006,0.47956597805023193,0.16213545203208923,0.023289676755666733
10,1.3703837394714355,0.7352749705314636,0.4889548420906067,0.48046356439590454,0.4793741703033447,0.13713771104812622,0.026145417243242264
11,1.3682477474212646,0.7353740930557251,0.49054253101348877,0.48104327917099,0.47932812571525574,0.18040727078914642,0.03995224088430405
12,1.37161386013031,0.7353557348251343,0.48882490396499634,0.4809781610965729,0.47933638095855713,0.15421006083488464,0.041290510445833206
13,1.3723713159561157,0.7359327673912048,0.4890216886997223,0.48159468173980713,0.47905904054641724,0.1750410795211792,0.033732637763023376
14,1.3646297454833984,0.7353224754333496,0.4922695457935333,0.4809700846672058,0.47935181856155396,0.17440152168273926,0.03527629375457764
15,1.3656409978866577,0.7312995791435242,0.4915671944618225,0.4807736873626709,0.48128408193588257,0.2171960324048996,0.05186658725142479
16,1.3657660484313965,0.7277870178222656,0.49443304538726807,0.4838326573371887,0.482977956533432,0.20968104898929596,0.051369231194257736
17,1.362154245376587,0.7246284484863281,0.4978995621204376,0.4855743944644928,0.4845062494277954,0.20171983540058136,0.07102318853139877
18,1.3539717197418213,0.7234196066856384,0.5030573606491089,0.48661521077156067,0.4850929081439972,0.22274860739707947,0.07156175374984741
19,1.3398650884628296,0.7187662124633789,0.5108612775802612,0.48728254437446594,0.4873553216457367,0.3161316514015198,0.11400925368070602
20,1.3254551887512207,0.7153412103652954,0.5218205451965332,0.49077725410461426,0.48902639746665955,0.2979223430156708,0.17200867831707
21,1.3230745792388916,0.7118473052978516,0.5273131728172302,0.4947728216648102,0.4907432794570923,0.30233243107795715,0.1658414900302887
22,1.3350085020065308,0.7048273682594299,0.5235697031021118,0.4971737861633301,0.49420928955078125,0.277050644159317,0.17358838021755219
23,1.3398460149765015,0.6976802349090576,0.5257545709609985,0.5015047788619995,0.4977496564388275,0.26246771216392517,0.177875354886055
24,1.319056510925293,0.6929768323898315,0.5419578552246094,0.5063417553901672,0.5001055598258972,0.2636500597000122,0.17222647368907928
25,1.3202316761016846,0.7093188762664795,0.5400814414024353,0.5047929883003235,0.4919931888580322,0.31379154324531555,0.18700683116912842
26,1.3420116901397705,0.7005817890167236,0.5244191288948059,0.5012704730033875,0.49634408950805664,0.24654415249824524,0.20022021234035492
27,1.3397114276885986,0.6998975276947021,0.5311603546142578,0.5062652826309204,0.4966750741004944,0.27460023760795593,0.22742192447185516
28,1.3449723720550537,0.7066221237182617,0.5270565748214722,0.5049775838851929,0.4933350682258606,0.26289471983909607,0.28213971853256226
29,1.3424043655395508,0.7094851732254028,0.5304173231124878,0.5066174864768982,0.4918988049030304,0.2877195179462433,0.251467764377594
30,1.3253000974655151,0.7195296287536621,0.5364285111427307,0.5038105249404907,0.4869849681854248,0.3198920786380768,0.26500827074050903
31,1.3476020097732544,0.7337061762809753,0.5203233361244202,0.49896594882011414,0.4801325798034668,0.3145407736301422,0.20191478729248047
32,1.3600914478302002,0.7172371745109558,0.5048349499702454,0.4904819130897522,0.48824232816696167,0.3260563313961029,0.33469337224960327
33,1.40608811378479,0.7249423265457153,0.501302182674408,0.5100588798522949,0.48436543345451355,0.48814815282821655,0.21613243222236633
34,1.4221421480178833,0.72181236743927,0.49109920859336853,0.5077818632125854,0.4859122037887573,0.495149701833725,0.1825241893529892
35,1.372464895248413,0.7104662656784058,0.5004441142082214,0.49315208196640015,0.4915195405483246,0.4287281334400177,0.18461133539676666
36,1.390063762664795,0.7111430764198303,0.5038573145866394,0.5049234628677368,0.491109162569046,0.5895106196403503,0.16781708598136902
37,1.332716464996338,0.7131053805351257,0.5231016278266907,0.49482208490371704,0.4901273250579834,0.38654619455337524,0.14308413863182068
38,1.34113347530365,0.7209277153015137,0.5180778503417969,0.4945051670074463,0.4863165318965912,0.42665958404541016,0.15250703692436218
39,1.323709487915039,0.7302708029747009,0.5227880477905273,0.49002805352211,0.4818183183670044,0.5128306746482849,0.21407857537269592
40,1.2851276397705078,0.7469637393951416,0.5411386489868164,0.48812419176101685,0.4738582372665405,0.5311748385429382,0.27150827646255493
41,1.2582534551620483,0.7479380369186401,0.5522626638412476,0.48405563831329346,0.4735027551651001,0.49932199716567993,0.3093629479408264
42,1.2684555053710938,0.7738651037216187,0.5506881475448608,0.4876999258995056,0.4614308476448059,0.5148009061813354,0.38548657298088074
43,1.2128946781158447,0.7915524244308472,0.5714139938354492,0.47640910744667053,0.4533633589744568,0.622785747051239,0.4532064199447632
44,1.2302550077438354,0.8078601956367493,0.5592886209487915,0.4744027853012085,0.44609883427619934,0.5698980689048767,0.4728633165359497
45,1.1848950386047363,0.838838517665863,0.5744942426681519,0.46506112813949585,0.4324435591697693,0.6734915971755981,0.4420667588710785
46,1.272019863128662,0.8496153354644775,0.5203072428703308,0.45766115188598633,0.4277496933937073,0.6723317503929138,0.44259193539619446
47,1.2531987428665161,0.860306441783905,0.5247278809547424,0.4524253308773041,0.4231748580932617,0.5658648014068604,0.4604492783546448
48,1.2709600925445557,0.866491973400116,0.5090464949607849,0.4447924792766571,0.4204956889152527,0.5642603039741516,0.4435325860977173
49,1.3681750297546387,0.8578089475631714,0.4573180079460144,0.44054362177848816,0.42414242029190063,0.5373542904853821,0.46137741208076477
50,1.3167166709899902,0.8479344844818115,0.48531192541122437,0.4425860047340393,0.4283292293548584,0.5669656991958618,0.5765535235404968
51,1.276430368423462,0.8263612389564514,0.5127112865447998,0.45235517621040344,0.43774479627609253,0.5713622570037842,0.5527384281158447
52,1.3136494159698486,0.8373185396194458,0.4987059533596039,0.4569106101989746,0.43288910388946533,0.5921920537948608,0.39618611335754395
53,1.3631339073181152,0.8478171229362488,0.4664765000343323,0.44912847876548767,0.42840975522994995,0.6084337830543518,0.33797183632850647
54,1.3406262397766113,0.8401201963424683,0.47848108410835266,0.44970399141311646,0.43177908658981323,0.5281460881233215,0.3899684250354767
55,1.350867748260498,0.8268522620201111,0.4728667736053467,0.4495219588279724,0.43762117624282837,0.5704141855239868,0.5198799967765808
56,1.3322573900222778,0.8292797207832336,0.4807962477207184,0.44844895601272583,0.43647006154060364,0.5223203897476196,0.4265698790550232
57,1.2714788913726807,0.7925500273704529,0.5063409805297852,0.4445926547050476,0.45355895161628723,0.5448359251022339,0.7258631587028503
58,1.4081919193267822,0.7983827590942383,0.47526460886001587,0.4795932173728943,0.45228636264801025,1.0614374876022339,0.5839884877204895
59,1.3292100429534912,0.8471418023109436,0.49991923570632935,0.4660736620426178,0.429191917181015,0.8574398159980774,0.4603678584098816
60,1.3356359004974365,0.8632657527923584,0.47311335802078247,0.4405573010444641,0.42199623584747314,0.803123414516449,0.35729140043258667
61,1.2356600761413574,0.8561025857925415,0.5075809359550476,0.42446309328079224,0.4248771667480469,0.7406123876571655,0.3564021587371826
62,1.1801038980484009,0.8561097383499146,0.5411196947097778,0.4289393424987793,0.4250207543373108,0.7158952951431274,0.43901073932647705
63,1.1329560279846191,0.9046909213066101,0.5644808411598206,0.4248208701610565,0.4049929976463318,0.7934977412223816,0.40322375297546387
64,1.1907482147216797,0.8861240148544312,0.5317423343658447,0.42476290464401245,0.41332435607910156,0.6807715892791748,0.5924633145332336
65,1.0832369327545166,0.8992928266525269,0.5895956754684448,0.4197087585926056,0.4088655114173889,0.7096807956695557,0.7791256308555603
66,1.0933845043182373,0.9046496152877808,0.6103305220603943,0.44538092613220215,0.4058769941329956,0.8585495948791504,1.129695177078247
67,1.1130197048187256,0.9275331497192383,0.6036964654922485,0.44519373774528503,0.3961770236492157,0.8612362742424011,1.1884303092956543
68,1.1683531999588013,0.9335761666297913,0.5614112019538879,0.43591806292533875,0.393937885761261,0.8019593358039856,1.2449177503585815
69,1.1905131340026855,0.9253609776496887,0.5486409664154053,0.4309537708759308,0.396574467420578,0.7601775527000427,1.3167966604232788
70,1.2767436504364014,0.948663592338562,0.5137170553207397,0.4388529658317566,0.3873290717601776,0.8793527483940125,1.462091326713562
71,1.179746389389038,0.9181464910507202,0.5462653636932373,0.42136603593826294,0.3994283080101013,0.6739591360092163,1.8657784461975098
72,1.2953810691833496,0.8823265433311462,0.504737138748169,0.4446216821670532,0.4141133427619934,0.8858752250671387,1.502152442932129
73,1.2416355609893799,0.8497105836868286,0.5386696457862854,0.44540852308273315,0.428559809923172,0.784281849861145,1.7931071519851685
74,1.4014182090759277,0.9023358821868896,0.4941568374633789,0.48306167125701904,0.4057190716266632,1.2947347164154053,1.1137111186981201
75,1.2859046459197998,0.8699634671211243,0.5407364964485168,0.47259271144866943,0.42001843452453613,0.9140893816947937,1.5666251182556152
76,1.373313069343567,0.838647723197937,0.47822707891464233,0.455546110868454,0.4341074228286743,1.0404925346374512,1.7232369184494019
77,1.505540370941162,0.8526097536087036,0.451681911945343,0.49959293007850647,0.4275592267513275,1.5409444570541382,1.2997747659683228
78,1.3768367767333984,0.8166544437408447,0.4837571680545807,0.4629058539867401,0.44373518228530884,0.9942295551300049,1.4629930257797241
79,1.3825724124908447,0.8264856338500977,0.4710560739040375,0.45778337121009827,0.4387977421283722,1.0000087022781372,1.1316221952438354
80,1.355628252029419,0.8236668705940247,0.5063425302505493,0.4810904264450073,0.43922555446624756,1.2511500120162964,1.0669275522232056
81,1.2322568893432617,0.8358933925628662,0.5619552731513977,0.4702342748641968,0.43372446298599243,1.2134017944335938,1.0240049362182617
