step,loss,score_mean,score_std,weight_mean,weight_std,grad_norm,entropy
1,0.3017580636685139,0.4782377923940818,0.17182043733057697,0.0075000369203404305,0.08282547881754636,0.06155338619895382,3.337297862252075
2,0.28329104071461264,0.5316938228323544,0.2529434035995592,0.007621750046593366,0.0830856195098106,0.1265801962785741,3.3371254331795
3,0.2703074751860371,0.545469146885311,0.2524067729344395,0.0076732773462291105,0.08315739988593542,0.05546169500680886,3.33738460100191
4,0.29420433011184843,0.5014936830600293,0.21376571843258257,0.0077748610037800935,0.0832577381714265,0.10155961366484309,3.3374393192900516
5,0.44349873032353127,0.3813850812904524,0.24660558208809852,0.0074392951644782,0.08294275006945595,0.15074865810401372,3.33885766142553
6,0.3205655492317817,0.46828633241328554,0.19454080614059416,0.0074393438839737884,0.08293345510134906,0.07590174073434741,3.3391321681926325
7,0.26336064066889747,0.5234333132662498,0.19038076065578097,0.00758135267598311,0.08303936810527197,0.15656425549823538,3.338708979358997
8,0.45607955663056154,0.3671969198892284,0.23588094219110106,0.007499924883991578,0.08305713147500463,0.061760748903585516,3.3394515641114912
9,0.18385513891484379,0.62684296060479,0.2112083403857447,0.007670806365849658,0.0831493272176522,0.11880816059522303,3.3384637155318018
10,0.3801883057717482,0.41776842139907017,0.20296476302995517,0.007753781425511265,0.08331690967771911,0.11174745912171853,3.33834044628521
11,0.2650887897372055,0.5321245008320987,0.21489836500234594,0.007724396112770916,0.08334301688052922,0.0488286985667105,3.338817099962175
12,0.2734003361557854,0.4898276743937977,0.11456236124812037,0.007594185665349285,0.08325146603570262,0.1410788559947723,3.339614130244147
13,0.30309032235024275,0.5002100437953116,0.23086862569489341,0.0073470932505955745,0.08288031360865777,0.19922499786868972,3.3400053591948637
14,0.304060388013854,0.5215307643587216,0.27409410585192306,0.007542744487255091,0.0831011082434038,0.10595945605974082,3.3395737109955688
15,0.4486541813448765,0.38414419289872015,0.263392875099464,0.007683450833033186,0.0833320919431625,0.10383088546278424,3.339557416159239
16,0.23667908784806518,0.537642098111063,0.15134152981123342,0.007521232200941117,0.08308916081177896,0.21059144174982716,3.3395406167375654
17,0.4584819491153157,0.34977935351824235,0.18893136442275224,0.007277025272995918,0.08291653432717487,0.10401259416154142,3.340735078096592
18,0.4320983668703865,0.39992258311155227,0.2683383331597872,0.007231620928663797,0.0828948877832054,0.030773671681733453,3.341143212321192
19,0.40723518380295065,0.38066583238619756,0.15381928694511746,0.007409172541183988,0.08325614330125447,0.3186990983569271,3.3403425489196965
20,0.3428406107546201,0.45901491225347263,0.22399943288620802,0.007359592020518946,0.08310130229007384,0.07020238940946005,3.340237839128782
21,0.40342634893930396,0.38254248746385255,0.14890456526045015,0.0075438425339880615,0.08342109873249554,0.1271207309337003,3.3400466701099627
22,0.20244207219790927,0.6113017606240441,0.2266180732121413,0.007115969498246043,0.0829702871672255,0.2050330708598937,3.3411842340917777
23,0.16941513881498416,0.6566614789927507,0.22701057018772047,0.00716217716268895,0.08302561718659275,0.06364446893664094,3.341441964593216
24,0.20966841557165117,0.6104569437542899,0.2406753479525295,0.006863076718491459,0.0827659145691983,0.15127956769341847,3.341944733489416
25,0.44537524081151003,0.3768383473910125,0.23884052414638712,0.006749436673756692,0.08280672211167955,0.09724518054613415,3.3430965762253093
26,0.29346209987914695,0.4944571327199239,0.19464970977334772,0.007191286114661698,0.08310123973140872,0.2805574914578728,3.342175034161177
27,0.31028117485434525,0.4941054796381221,0.23313495969599235,0.007377041068550168,0.08334455759678505,0.10468494844890729,3.341840331575411
28,0.32687695857098653,0.5033484378333042,0.2832210880129588,0.007105343046559984,0.08320147363300753,0.12290117673170876,3.3432900764477607
29,0.2537531855361937,0.566716302937432,0.25694050605099156,0.007534911259718443,0.08370746009067852,0.2420490873168693,3.341950209547643
30,0.47616904076764904,0.366048548103608,0.2725336637596807,0.007229075042249343,0.08346213182531323,0.21482985368969626,3.342742972050256
31,0.2468439717668354,0.5711780744844128,0.2509098009460443,0.0070581456358671905,0.08315255320327555,0.17216690823628927,3.3431871954403394
32,0.20048183926665308,0.6065183042038815,0.21366795393915708,0.006948220728130166,0.08300742970827608,0.07485245304879126,3.3432390363644515
33,0.210855459437649,0.6171191223194876,0.2534910119809083,0.006793042758910761,0.08275632053106548,0.11028236018230718,3.3432632541689298
34,0.38216782643850433,0.4248215469869263,0.2265779645291208,0.006691563936564487,0.08260034350522406,0.09796254988182138,3.343416040636664
35,0.3358482253392505,0.4537329958270921,0.19349569976372855,0.006736131186787215,0.08270299375532701,0.06937748722884325,3.3435129422065692
36,0.20407582609476668,0.6140690844736731,0.23480450323589117,0.006776537653934232,0.08272987255953128,0.0403554726893039,3.3435137553414265
37,0.36284856243594443,0.4253124730407287,0.18050708893622402,0.006683258932843845,0.08272261263205913,0.16050360942367023,3.3442147881636117
38,0.36994954334024766,0.41513303627255305,0.16697358608604682,0.00682505876299591,0.08297023183032134,0.15045318075687564,3.3442358790180187
39,0.34935100301915323,0.46149062162121557,0.24363631249589915,0.007036706604244729,0.08321206083102438,0.12530747826862781,3.3437565789694546
40,0.35824335846449007,0.4302830008827769,0.18348269602226652,0.007234761999079877,0.08346104742717589,0.11499698984818407,3.343065382093323
41,0.3471597331398961,0.48768785765169476,0.2910257759882201,0.007148746137167907,0.08342344944080983,0.032839171846331894,3.3434445880147776
42,0.2963628719961512,0.53015526817395,0.27497054436397605,0.006837217593769853,0.08306653451992516,0.197042612123717,3.344444641242525
43,0.3358792823775034,0.4666869714659769,0.22684024402484423,0.0067816845991854075,0.08303141370203698,0.02503422160428316,3.3445965608538577
44,0.2506153596091228,0.5428138687659768,0.20395146792069105,0.006893172013076839,0.08316493917494555,0.13272591313329904,3.3445140596944554
45,0.28462059851041666,0.5436121708125318,0.2762801986472929,0.006883965999570518,0.08322047524534117,0.10333691906826944,3.3446816117408766
46,0.3317159324933678,0.49061869343230574,0.26878730874889234,0.00691066259221666,0.08327549537882646,0.0634984758762137,3.344587053982925
47,0.155899404570914,0.6757681724099908,0.22532893002110477,0.007004398813751896,0.08334830290269127,0.07355270855049018,3.3443608294262104
48,0.4581804609505841,0.3586636990389295,0.21649067064965133,0.006960463192248164,0.08326809196892898,0.05133295945872958,3.3443867261288314
49,0.2587464215157198,0.5430667367463637,0.22351379086501438,0.007232285560211211,0.08355723905165198,0.13323669290732318,3.343467117626412
50,0.1796915125798652,0.5915519464130616,0.11340943647068463,0.007382061667836139,0.08359423549588671,0.06395586603113206,3.3425962942218783
51,0.3461106615761225,0.45479008640578694,0.22103577095308324,0.0069051625807152045,0.0831201286122,0.23119089542004106,3.3439965251143504
52,0.23839104046955623,0.5605462744153424,0.21277091854318775,0.00686253059356423,0.08309788185019872,0.09928051432511396,3.344351886704588
53,0.5358529377205989,0.3068019757677183,0.23522210239880273,0.006787965217217754,0.08307900300487286,0.08786195315291326,3.344780679638686
54,0.3727031433893474,0.4095436495888051,0.15512718014952367,0.0070777451884030855,0.08346924159791089,0.16924877507168526,3.3441139399295774
55,0.27344424857923005,0.5243166993727484,0.21718574160620688,0.006933602114859966,0.08342382465777844,0.1475329692293694,3.344815661289037
56,0.21701619111658232,0.5605688569294633,0.15464948054655775,0.007019348872480911,0.08356315686464799,0.14059661639707813,3.3443921885727548
57,0.3957844812774999,0.3864927753197136,0.13926006943261565,0.007075572068869664,0.08360101436522703,0.03930224365443729,3.344272106652915
