step,loss,score_mean,score_std,w_l0_q0_RX,w_l0_q0_RY,w_l0_q0_RZ,w_l0_q1_RX,w_l0_q1_RY,w_l0_q1_RZ,w_l0_q2_RX,w_l0_q2_RY,w_l0_q2_RZ,w_l0_q3_RX,w_l0_q3_RY,w_l0_q3_RZ,w_l0_q4_RX,w_l0_q4_RY,w_l0_q4_RZ,w_l0_q5_RX,w_l0_q5_RY,w_l0_q5_RZ,w_l1_q0_RX,w_l1_q0_RY,w_l1_q0_RZ,w_l1_q1_RX,w_l1_q1_RY,w_l1_q1_RZ,w_l1_q2_RX,w_l1_q2_RY,w_l1_q2_RZ,w_l1_q3_RX,w_l1_q3_RY,w_l1_q3_RZ,w_l1_q4_RX,w_l1_q4_RY,w_l1_q4_RZ,w_l1_q5_RX,w_l1_q5_RY,w_l1_q5_RZ
1,0.21169836240677364,0.5464439325170711,0.07736443800540983,0.15249077541087802,-0.5222133106974252,0.3751283264254161,0.4701403044586177,-0.973841092258644,-0.6508763505458443,0.0639556498090615,-0.15677348506115082,-0.008283385360723513,-0.42636509510870657,0.44224801490043847,0.3891272393370099,0.03324787410071191,0.5637679324074718,0.23431661668628045,-0.4285344595541757,0.18315760529280567,-0.48026837505063946,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.341198269517615,0.6134723330214732,-0.07726474103440108,-0.21512337401514733,-0.1754927608391661,0.26615459277667436,0.1818920013373573,0.20300377326560218,0.21541050150394137,1.0716944917769569,-0.20346973393415088,-0.25612136453576867,-0.40736250870805857,0.3082881958255765,0.5644861463604458
2,0.2448638481260779,0.5065809506343676,0.03743648079156643,0.15221703094295422,-0.522271889134269,0.3749918809363229,0.4705628467314341,-0.9740300322478462,-0.6505149950649554,0.06429687709008207,-0.15724013745455112,-0.007674654902214239,-0.42695174076946385,0.44193628919907113,0.3892495789750091,0.03278214405816491,0.5642358338339508,0.23433710368416452,-0.4307869134381945,0.18109639411348338,-0.4778131239809815,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3409581930776785,0.6141957360941016,-0.07726474103440108,-0.2147341448453522,-0.1759776894598252,0.26615459277667436,0.1826159011496928,0.2016532983181467,0.21541050150394137,1.0734475584077658,-0.20490093635833406,-0.25612136453576867,-0.4071969096738546,0.3086860163336308,0.5644861463604458
3,0.24066368502627658,0.5146640033711214,0.0715028366094198,0.15241808648774577,-0.5217835025419953,0.37507801911996697,0.4704885169750654,-0.9733986341852477,-0.650281438981086,0.06433673595238178,-0.15648332520676242,-0.007466291336086537,-0.4267143522043749,0.4403587318346215,0.38888136423810993,0.03216992972328133,0.5609941382354618,0.23457165985230974,-0.42971275370161255,0.18134245788244302,-0.4754782220200905,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.34088656415541513,0.6135531157164661,-0.07726474103440108,-0.21310432881711958,-0.17610812704896547,0.26615459277667436,0.18290876757265906,0.20168673851946847,0.21541050150394137,1.0731407016109058,-0.20502950395479277,-0.25612136453576867,-0.40860956197757703,0.30863818482066724,0.5644861463604458
4,0.23412395168211095,0.5196436910489053,0.058152973845843337,0.15238148487120548,-0.5220639311241567,0.37487489868153057,0.4706116260659354,-0.9742203184438621,-0.650424602109472,0.06463140577686992,-0.15593418342529738,-0.007144051025501222,-0.42699951784743084,0.44060689014601473,0.38914658612180175,0.031174892190500663,0.5604543128308098,0.23504450132699167,-0.43013125932528545,0.18066187728909622,-0.47458433203864386,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3405453391782262,0.6143724431851967,-0.07726474103440108,-0.2136137375190458,-0.17602277953180648,0.26615459277667436,0.18327517520375206,0.2005302819742636,0.21541050150394137,1.0752354038201068,-0.20555712703945517,-0.25612136453576867,-0.4096288271961662,0.3084843853316695,0.5644861463604458
5,0.2255626669495763,0.5333712332335285,0.08843224073346169,0.152392683209379,-0.5217638816030645,0.3745323890126641,0.46968427432057636,-0.9727188384639864,-0.6504627885198361,0.06431754882562858,-0.15735924948297905,-0.007195097344258347,-0.4266878217409647,0.4411280299867727,0.3892569820544625,0.030980311292715952,0.5590281347604259,0.23488701578881507,-0.42970174438641195,0.18125982110716427,-0.4741356465462658,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3399038122331837,0.6133592962431095,-0.07726474103440108,-0.21262910542147767,-0.1753124498808365,0.26615459277667436,0.18361352215209734,0.20089907205504318,0.21541050150394137,1.074786971980243,-0.2054192760320268,-0.25612136453576867,-0.4107980894446184,0.3078183878381168,0.5644861463604458
6,0.24586523485145084,0.5047237765748891,0.023805411298183535,0.15259996592122316,-0.5216972338406766,0.37455691969252625,0.4694359856696083,-0.9733074790081622,-0.6507582785084214,0.06434316902883033,-0.1576475633480304,-0.0073626055884760885,-0.4269046755465122,0.44182906824784557,0.3890335521328981,0.029866919478787415,0.5595474843158804,0.2366681648502069,-0.42948557753970895,0.17884071332977905,-0.471676756208164,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3394885985662574,0.6110399252833181,-0.07726474103440108,-0.21332266473128397,-0.1752858646882629,0.26615459277667436,0.18216804041839854,0.20221467471737528,0.21541050150394137,1.072828990423203,-0.20559894109135407,-0.25612136453576867,-0.4107879570307401,0.3081743402549239,0.5644861463604458
7,0.2441200171272664,0.5072819919361856,0.0367284889563042,0.15289098280459154,-0.5218638447678942,0.3744656851730021,0.4696019040847609,-0.9735080560522921,-0.650392039804949,0.06390841100438638,-0.15682589809832698,-0.007504685908695546,-0.42700143953655,0.4421832153509972,0.3891344303267012,0.0293078135990294,0.5588113178218109,0.23665699003989962,-0.4305688242654697,0.17939131076193862,-0.4717111243930968,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3390234403616278,0.6104061417251718,-0.07726474103440108,-0.21390793067517486,-0.17425676337483534,0.26615459277667436,0.18200967638469523,0.203144340005759,0.21541050150394137,1.07308869594385,-0.2051098966836052,-0.25612136453576867,-0.410187266740122,0.3075165646986009,0.5644861463604458
8,0.22804683442020263,0.5238693143322775,0.03669338923885163,0.15300384557875607,-0.5207636395846311,0.37452293424090916,0.46937491552299676,-0.9729345624297707,-0.6506664700658427,0.06418591170812077,-0.1557263704291734,-0.007529146109831707,-0.42902657151319906,0.4416898961544205,0.3889663806045045,0.02856491216314303,0.559675659779465,0.23766103300309083,-0.4300947464064495,0.18242306401187258,-0.46883321224415353,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33937312072601006,0.6100798425088397,-0.07726474103440108,-0.2140055510265434,-0.17345237859380666,0.26615459277667436,0.18251936761808982,0.20371258371032938,0.21541050150394137,1.074732561205734,-0.20535473884611727,-0.25612136453576867,-0.4118940294935153,0.3084572381083609,0.5644861463604458
9,0.23963000084464092,0.5112925387210103,0.028196070196318215,0.15267257679353138,-0.5213323596359873,0.37440948822632436,0.4691242453498746,-0.9733536904814226,-0.6506014780885382,0.06414571712819478,-0.15466751851243699,-0.007192395810069788,-0.4291055958168101,0.44106553532090204,0.3883636922552677,0.028161596344826872,0.5593166905283007,0.2380125146137297,-0.4310229872959756,0.18306346726462122,-0.46887295702947973,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3387667196016239,0.6090685230690592,-0.07726474103440108,-0.2134911947782702,-0.17306587797032277,0.26615459277667436,0.18212113508116026,0.20299749888530802,0.21541050150394137,1.0741884173777074,-0.20499888040114986,-0.25612136453576867,-0.41132695801659186,0.30793089487650793,0.5644861463604458
10,0.23920592164163115,0.5129116851434777,0.04416894170195337,0.1525927107799963,-0.5208020271939975,0.3742151937189024,0.469857163426934,-0.9748335732498089,-0.6505926036730588,0.06421025158483464,-0.15603115052452715,-0.0077005324613320485,-0.42956795217101884,0.43972508939703636,0.3883965502897851,0.028014979722861533,0.560077524259039,0.23848806102893963,-0.43067912501628564,0.18090816648994126,-0.4690989380530949,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.338916218202091,0.6083559461327693,-0.07726474103440108,-0.2136401441311104,-0.17219560916166368,0.26615459277667436,0.18095200866882247,0.20570051223736888,0.21541050150394137,1.0751654918672677,-0.20583687481708268,-0.25612136453576867,-0.4125515279757976,0.30922674342918616,0.5644861463604458
11,0.2466002434529922,0.5049120182008184,0.03857633960869957,0.15288865992321676,-0.5208178335026348,0.3743429569946993,0.4704926815885453,-0.9771052854785807,-0.6505687506958567,0.06446351958700061,-0.15754680452179204,-0.007747131348555829,-0.42974256890131524,0.43967325769154914,0.38866046754104605,0.029074770537255632,0.5606875896763761,0.2385210536102639,-0.4317227786430001,0.18043888423130341,-0.4692857980267273,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.3389130922728487,0.6095609001154876,-0.07726474103440108,-0.21434489139392032,-0.17253586564571427,0.26615459277667436,0.18174132525935893,0.20663662418085504,0.21541050150394137,1.0753389337403665,-0.20579013192622778,-0.25612136453576867,-0.41211228282044016,0.30842529544589936,0.5644861463604458
12,0.2447032988252504,0.509950680347262,0.06749046879258083,0.15265396104507686,-0.5214547014232469,0.3746886829019428,0.47109579600410484,-0.9774040311696872,-0.6501555586152784,0.06456155340270818,-0.1573135742728966,-0.007847164107985869,-0.4292994987528277,0.4405931845375662,0.38845803702151704,0.030454095257492854,0.5620123043215091,0.23795203146965405,-0.4316017999777326,0.1800234054798218,-0.4696502629266695,0.43922515065363626,-0.024962955493126448,-0.09243118177263028,-0.33873169410006115,0.6093366678107098,-0.07726474103440108,-0.2135342653749116,-0.1729007830196599,0.26615459277667436,0.18218631023760293,0.20727332328794537,0.21541050150394137,1.0744145420962692,-0.2054434093017341,-0.25612136453576867,-0.4120188224729504,0.3067782120579103,0.5644861463604458
