step,disc_loss,disc_loss_real,disc_loss_fake,disc_grad_norm,gen_loss,gen_grad_norm,real_score_mean,real_score_std,real_score_min,real_score_max,fake_score_mean_disc,fake_score_std_disc,fake_score_min_disc,fake_score_max_disc,fake_score_mean_gen,fake_score_std_gen,fake_score_min_gen,fake_score_max_gen
1,0.6865649009945698,0.6785853037466046,0.6846909719251811,0.064465273336342,0.6881063882840744,0.029581936143967237,0.507748857598278,0.020686409186084127,0.4667974069117171,0.5624528459492447,0.495648178617208,0.010217029660434248,0.485541694719733,0.5256486607033237,0.5028865793850099,0.019205652180099432,0.4729140599641636,0.5459674085818922
2,0.6993732511260919,0.7092279268244337,0.6912924325833428,0.06672811486493488,0.7047436514241825,0.03858893727163963,0.4926008858065769,0.02358733254017993,0.43533989864834055,0.5390523951075297,0.49867787677939324,0.019417720921127053,0.4818320579746869,0.5551091847102877,0.49452913191648945,0.017019926610568836,0.45289852459568447,0.5248534247235264
3,0.6904247248704536,0.6983261500010189,0.678972578238983,0.06001795015721467,0.7018258270833109,0.012996442654324838,0.4976112531333745,0.013965154861093091,0.478941705293817,0.5295627872092131,0.4928013928774546,0.00778636431417458,0.4834251721396131,0.5167422592488251,0.4957637818242082,0.009186374400256471,0.4830434515895168,0.5190544044450196
4,0.6871264234976586,0.6857714061914855,0.6834309520739259,0.06795797287990502,0.7072245765753171,0.007305513870668591,0.504054449934253,0.019011496592541876,0.46888692865351506,0.551249762180848,0.49500105805442346,0.0109392467721107,0.46405166003855886,0.5143251094042209,0.49305741821098725,0.006789952388952677,0.4784607523122837,0.5059884230768533
5,0.693507368291627,0.7132410103733432,0.6807425951989826,0.05855292354415777,0.7002434833585509,0.0214075362326489,0.49081613199394686,0.026766550565706444,0.4165005894523121,0.5309927389056145,0.4936972290436812,0.00790164689426002,0.47801290588934636,0.5091438148908193,0.49670401725910346,0.015677586171976673,0.47943833644628375,0.5389829790511748
6,0.688283388405142,0.6765255452680453,0.6804266820986027,0.07701949995632501,0.7052690428262083,0.027154281830463728,0.5090193583891156,0.02610148467145187,0.47624059408503516,0.5740265712946615,0.49350954891315146,0.009469813745126857,0.47976824103118026,0.5162568114152487,0.4944480155002481,0.021300075762158074,0.43097976234802654,0.5445925728562667
7,0.6853900890206824,0.6893476105158762,0.6948891937381333,0.07851736611308825,0.7105369918204714,0.02559778144945396,0.5022428825502581,0.01887285188368582,0.4841166878699407,0.5612816226790974,0.5004662157614971,0.019820880021995696,0.47790858661535396,0.5482461730885915,0.49146710982197106,0.00931535134840073,0.48121028373528346,0.5156994653779121
8,0.6867556788751441,0.6918825525425506,0.6672652126894665,0.06847495306974535,0.7038507958530742,0.02472282587548225,0.5010602886393156,0.020654302140301797,0.4571876004949088,0.5378987480368932,0.48678249848666694,0.010523734042773339,0.4629661420871144,0.5089381738359674,0.49476115998602577,0.009136062466788483,0.47874913173937755,0.507555341393528
9,0.6893501822558543,0.692658668174253,0.6830374787542661,0.07528242788072775,0.7110873570862869,0.019707935410561785,0.5014495760895848,0.03534183069713882,0.456714166942346,0.5752278193164069,0.4947771859061819,0.011870973393202823,0.47786127039512616,0.5250556673039485,0.4913032280870551,0.01373373674465083,0.4540901901165103,0.5247396690357459
10,0.6815545289735626,0.68172772199556,0.6797180583267985,0.06457801055872017,0.704813605820821,0.015300095749107092,0.505984396880271,0.01568633252225476,0.48119475820876795,0.542491737093107,0.4931191926603707,0.010950595388777386,0.48314497811815105,0.5213763160428787,0.4944326479349136,0.015441425576729641,0.48090270638093174,0.5411718761898219
