noise0,noise1,q0_bloch_x,q0_bloch_y,q0_bloch_z,q1_bloch_x,q1_bloch_y,q1_bloch_z,exp_XX_q0,exp_XX_q1,exp_XY_q0,exp_XY_q1,exp_XZ_q0,exp_XZ_q1,exp_YX_q0,exp_YX_q1,exp_YY_q0,exp_YY_q1,exp_YZ_q0,exp_YZ_q1,exp_ZX_q0,exp_ZX_q1,exp_ZY_q0,exp_ZY_q1,exp_ZZ_q0,exp_ZZ_q1
0.0,0.0,0.010711004258956805,0.020135160256652053,0.9958482783798697,-0.25054546610634654,-0.0986813831118417,0.959021844320365,0.010711004258956769,-0.2505454661063466,0.010711004258956769,-0.09868138311184188,0.010711004258956769,0.959021844320365,0.020135160256652074,-0.2505454661063466,0.020135160256652074,-0.09868138311184188,0.020135160256652074,0.959021844320365,0.9958482783798697,-0.2505454661063466,0.9958482783798697,-0.09868138311184188,0.9958482783798697,0.959021844320365
0.0,0.4487989505128276,-0.007945676935346384,-0.014936739317137144,0.9958482783798701,0.1858605676150386,-0.01398443099317876,0.978396810405243,-0.007945676935346369,0.18586056761503866,-0.007945676935346369,-0.013984430993178754,-0.007945676935346369,0.978396810405243,-0.014936739317137238,0.18586056761503866,-0.014936739317137238,-0.013984430993178754,-0.014936739317137238,0.978396810405243,0.9958482783798701,0.18586056761503866,0.9958482783798701,-0.013984430993178754,0.9958482783798701,0.978396810405243
0.0,0.8975979010256552,-0.025028619365271607,-0.047050234482081274,0.99584827837987,0.5854546364899913,0.0734823091914742,0.8039882889399336,-0.02502861936527151,0.5854546364899913,-0.02502861936527151,0.07348230919147425,-0.02502861936527151,0.8039882889399336,-0.04705023448208112,0.5854546364899913,-0.04705023448208112,0.07348230919147425,-0.04705023448208112,0.8039882889399336,0.99584827837987,0.5854546364899913,0.99584827837987,0.07348230919147425,0.99584827837987,0.8039882889399336
0.0,1.3463968515384828,-0.03715433677403224,-0.0698448536745911,0.9958482783798699,0.869092234478181,0.14639497683937477,0.4703400265807871,-0.03715433677403218,0.8690922344781808,-0.03715433677403218,0.1463949768393748,-0.03715433677403218,0.4703400265807873,-0.0698448536745912,0.8690922344781808,-0.0698448536745912,0.1463949768393748,-0.0698448536745912,0.4703400265807873,0.9958482783798699,0.8690922344781808,0.9958482783798699,0.1463949768393748,0.9958482783798699,0.4703400265807873
0.0,1.7951958020513104,-0.041921182116658504,-0.07880584300593169,0.9958482783798701,0.9805954567111899,0.19031232390767067,0.043535153615437694,-0.04192118211665857,0.9805954567111896,-0.04192118211665857,0.19031232390767067,-0.04192118211665857,0.04353515361543775,-0.07880584300593163,0.9805954567111896,-0.07880584300593163,0.19031232390767067,-0.07880584300593163,0.04353515361543775,0.9958482783798701,0.9805954567111896,0.9958482783798701,0.19031232390767067,0.9958482783798701,0.04353515361543775
0.0,2.243994752564138,-0.038385023211521666,-0.07215836863970894,0.99584827837987,0.8978797225284915,0.19653598119857016,-0.39189239044706997,-0.03838502321152154,0.8978797225284915,-0.03838502321152154,0.19653598119856996,-0.03838502321152154,-0.39189239044706997,-0.07215836863970881,0.8978797225284915,-0.07215836863970881,0.19653598119856996,-0.07215836863970881,-0.39189239044706997,0.99584827837987,0.8978797225284915,0.99584827837987,0.19653598119856996,0.99584827837987,-0.39189239044706997
0.0,2.6927937030769655,-0.027246239697926986,-0.051219044400076325,0.9958482783798699,0.6373278975268767,0.16383327705746317,-0.7497008403367762,-0.027246239697927055,0.6373278975268766,-0.027246239697927055,0.16383327705746303,-0.027246239697927055,-0.7497008403367762,-0.051219044400076186,0.6373278975268766,-0.051219044400076186,0.16383327705746303,-0.051219044400076186,-0.7497008403367762,0.9958482783798699,0.6373278975268766,0.9958482783798699,0.16383327705746303,0.9958482783798699,-0.7497008403367762
0.0,3.141592653589793,-0.01071100425895681,-0.020135160256652063,0.9958482783798699,0.2505454661063466,0.09868138311184171,-0.9590218443203652,-0.010711004258956713,0.25054546610634676,-0.010711004258956713,0.09868138311184177,-0.010711004258956713,-0.9590218443203652,-0.020135160256652074,0.25054546610634676,-0.020135160256652074,0.09868138311184177,-0.020135160256652074,-0.9590218443203652,0.9958482783798699,0.25054546610634676,0.9958482783798699,0.09868138311184177,0.9958482783798699,-0.9590218443203652
0.0,3.5903916041026207,0.00794567693534638,0.014936739317137137,0.99584827837987,-0.18586056761503855,0.013984430993178781,-0.9783968104052428,0.00794567693534648,-0.18586056761503866,0.00794567693534648,0.013984430993178809,0.00794567693534648,-0.9783968104052428,0.014936739317137127,-0.18586056761503866,0.014936739317137127,0.013984430993178809,0.014936739317137127,-0.9783968104052428,0.99584827837987,-0.18586056761503866,0.99584827837987,0.013984430993178809,0.99584827837987,-0.9783968104052428
0.0,4.039190554615448,0.025028619365271596,0.04705023448208126,0.9958482783798699,-0.5854546364899911,-0.07348230919147414,-0.8039882889399335,0.025028619365271787,-0.5854546364899912,0.025028619365271787,-0.07348230919147425,0.025028619365271787,-0.8039882889399335,0.04705023448208112,-0.5854546364899912,0.04705023448208112,-0.07348230919147425,0.04705023448208112,-0.8039882889399335,0.9958482783798699,-0.5854546364899912,0.9958482783798699,-0.07348230919147425,0.9958482783798699,-0.8039882889399335
